ID	Order	Superfamily
rnd-1_family-0	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-3_family-113	Unknown	Unknown
rnd-3_family-186	Unknown	Unknown
rnd-4_family-8	LTR	Pao
rnd-4_family-282	Unknown	Unknown
rnd-4_family-6	LTR	Pao
rnd-4_family-601	Unknown	Unknown
rnd-4_family-146	LTR	Pao
rnd-5_family-87	Unknown	Unknown
rnd-5_family-536	Unknown	Unknown
rnd-5_family-68	Unknown	Unknown
rnd-5_family-119	Unknown	Unknown
rnd-5_family-658	Unknown	Unknown
rnd-5_family-362	Simple_repeat	Unknown
rnd-5_family-11	DNA	TcMar-Mariner
rnd-5_family-534	Unknown	Unknown
rnd-5_family-2541	Unknown	Unknown
rnd-5_family-1206	Unknown	Unknown
rnd-5_family-581	LTR	Pao
rnd-5_family-152	Unknown	Unknown
