ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Gypsy
ltr-1_family-102	LTR	Unknown
ltr-1_family-103	LTR	Pao
ltr-1_family-104	LTR	Unknown
ltr-1_family-105	LTR	Pao
ltr-1_family-106	LTR	Unknown
ltr-1_family-107	LTR	Pao
ltr-1_family-108	LTR	Unknown
ltr-1_family-109	LTR	Gypsy
ltr-1_family-110	LTR	Unknown
ltr-1_family-12	LINE	CR1
ltr-1_family-111	LTR	Gypsy
ltr-1_family-112	LTR	Unknown
ltr-1_family-113	LTR	Pao
ltr-1_family-114	LTR	Unknown
ltr-1_family-115	LTR	Gypsy
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Unknown
ltr-1_family-119	LTR	Gypsy
ltr-1_family-120	LTR	Pao
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	LTR	Unknown
ltr-1_family-122	LTR	Pao
ltr-1_family-123	LTR	Unknown
ltr-1_family-124	LTR	Unknown
ltr-1_family-125	LTR	Pao
ltr-1_family-126	LTR	Unknown
ltr-1_family-127	LTR	Unknown
ltr-1_family-128	LTR	Gypsy
ltr-1_family-129	LTR	Unknown
ltr-1_family-130	LTR	Gypsy
ltr-1_family-14	LTR	Unknown
ltr-1_family-131	LTR	Pao
ltr-1_family-132	LTR	Unknown
ltr-1_family-133	LTR	Unknown
ltr-1_family-134	LTR	Pao
ltr-1_family-135	LTR	Pao
ltr-1_family-136	LTR	Gypsy
ltr-1_family-137	LTR	Unknown
ltr-1_family-138	LTR	Unknown
ltr-1_family-139	LTR	Unknown
ltr-1_family-140	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-141	LTR	Unknown
ltr-1_family-142	LTR	Gypsy
ltr-1_family-143	LTR	Unknown
ltr-1_family-144	LTR	Unknown
ltr-1_family-145	LTR	Unknown
ltr-1_family-146	LTR	Gypsy
ltr-1_family-147	LTR	Unknown
ltr-1_family-148	LTR	Unknown
ltr-1_family-149	LTR	Unknown
ltr-1_family-150	LTR	Gypsy
ltr-1_family-16	LTR	Gypsy
ltr-1_family-151	LTR	Unknown
ltr-1_family-152	LTR	Gypsy
ltr-1_family-153	LTR	Unknown
ltr-1_family-154	LTR	Unknown
ltr-1_family-155	DNA	TcMar-Mariner
ltr-1_family-156	LINE	RTE-RTE
ltr-1_family-157	LTR	Pao
ltr-1_family-158	LTR	Unknown
ltr-1_family-159	LTR	Gypsy
ltr-1_family-160	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-161	LTR	Pao
ltr-1_family-162	LTR	Unknown
ltr-1_family-163	LTR	Gypsy
ltr-1_family-164	DNA	TcMar-Mariner
ltr-1_family-165	LTR	Unknown
ltr-1_family-166	LTR	Unknown
ltr-1_family-167	LTR	Copia
ltr-1_family-168	LTR	Unknown
ltr-1_family-169	LTR	Unknown
ltr-1_family-170	LTR	Gypsy
ltr-1_family-18	LTR	Pao
ltr-1_family-171	DNA	TcMar-Mariner
ltr-1_family-172	LTR	Unknown
ltr-1_family-173	LTR	Gypsy
ltr-1_family-174	LTR	Unknown
ltr-1_family-175	LTR	Unknown
ltr-1_family-176	LTR	Unknown
ltr-1_family-177	LTR	Pao
ltr-1_family-178	LTR	Unknown
ltr-1_family-179	LTR	Pao
ltr-1_family-180	LTR	Pao
ltr-1_family-19	LTR	Unknown
ltr-1_family-181	LTR	Unknown
ltr-1_family-182	LTR	Unknown
ltr-1_family-183	LTR	Gypsy
ltr-1_family-184	LTR	Unknown
ltr-1_family-185	LINE	CR1
ltr-1_family-186	LTR	Unknown
ltr-1_family-187	LTR	Unknown
ltr-1_family-188	LTR	Pao
ltr-1_family-189	LTR	Unknown
ltr-1_family-190	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-191	LTR	Unknown
ltr-1_family-192	LTR	Pao
ltr-1_family-193	LTR	Pao
ltr-1_family-194	LTR	Pao
ltr-1_family-195	LTR	Unknown
ltr-1_family-196	LTR	Gypsy
ltr-1_family-197	LTR	Unknown
ltr-1_family-198	LTR	Unknown
ltr-1_family-199	LTR	Unknown
ltr-1_family-200	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-201	LTR	Unknown
ltr-1_family-202	LTR	Pao
ltr-1_family-203	LTR	Unknown
ltr-1_family-204	LTR	Gypsy
