ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	Simple_repeat	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Gypsy
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Pao
ltr-1_family-29	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-4	LINE	RTE
rnd-1_family-0	Unknown	Unknown
rnd-1_family-12	Simple_repeat	Unknown
rnd-1_family-6	LINE	CR1
rnd-1_family-5	LINE	RTE
rnd-1_family-11	LINE	RTE-RTE
rnd-1_family-8	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	LINE	RTE-RTE
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-46	LINE	Penelope
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	LINE	RTE-RTE
rnd-1_family-49	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-2_family-12	Unknown	Unknown
rnd-3_family-12	Unknown	Unknown
rnd-3_family-69	LINE	CR1
rnd-3_family-85	LINE	CR1
rnd-4_family-233	Simple_repeat	Unknown
rnd-4_family-7	LINE	CR1
rnd-4_family-14	Unknown	Unknown
rnd-4_family-84	Unknown	Unknown
rnd-4_family-439	LINE	CR1
rnd-4_family-17	Unknown	Unknown
rnd-4_family-111	Unknown	Unknown
rnd-4_family-256	Unknown	Unknown
rnd-4_family-64	Unknown	Unknown
rnd-4_family-137	Unknown	Unknown
rnd-4_family-148	Unknown	Unknown
rnd-4_family-37	Simple_repeat	Unknown
