ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LINE	L1
ltr-1_family-12	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-34	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-43	rRNA	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-11	LINE	R2-NeSL
rnd-1_family-24	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-2	Simple_repeat	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-49	rRNA	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
