ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	DNA	TcMar-Tc1
ltr-1_family-12	DNA	TcMar-Tc1
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Pao
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-41	DNA	TcMar-Pogo
rnd-1_family-306	DNA	TcMar-Tc1
rnd-1_family-144	DNA	TcMar-Mariner
rnd-1_family-106	Unknown	Unknown
rnd-1_family-249	Unknown	Unknown
rnd-1_family-135	DNA	TcMar-Mariner
rnd-1_family-294	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-72	RC	Helitron
rnd-1_family-76	Unknown	Unknown
rnd-1_family-268	LINE	RTE-RTE
rnd-1_family-183	Unknown	Unknown
rnd-1_family-185	DNA	TcMar-Mariner
rnd-1_family-130	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-155	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-267	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-186	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-200	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-269	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-15	DNA	TcMar-Tc1
rnd-1_family-28	DNA	TcMar-Tc1
rnd-1_family-9	DNA	TcMar-Tc1
rnd-1_family-110	Unknown	Unknown
rnd-1_family-232	Unknown	Unknown
rnd-1_family-285	Unknown	Unknown
rnd-1_family-184	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-287	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-56	RC	Helitron
rnd-1_family-26	DNA	TcMar-Tc1
rnd-1_family-213	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-199	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-209	DNA	TcMar-Mariner
rnd-1_family-98	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-21	DNA	TcMar-Pogo
rnd-1_family-63	Unknown	Unknown
rnd-1_family-172	DNA	TcMar-Mariner
rnd-1_family-79	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-39	DNA	TcMar-Tc1
rnd-1_family-13	DNA	TcMar-Pogo
rnd-1_family-310	DNA	TcMar-Tc1
rnd-1_family-166	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-308	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-44	Simple_repeat	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-14	DNA	TcMar-Pogo
rnd-1_family-233	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-80	DNA	TcMar-Tc1
rnd-1_family-241	Unknown	Unknown
rnd-1_family-31	DNA	TcMar-Pogo
rnd-1_family-238	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-8	DNA	TcMar-Tc1
rnd-1_family-226	DNA	TcMar-Pogo
rnd-1_family-22	DNA	TcMar-Pogo
rnd-1_family-180	Unknown	Unknown
rnd-1_family-242	Unknown	Unknown
rnd-1_family-311	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
