ID	Order	Superfamily
rnd-1_family-72	DNA	TcMar-Tc1
rnd-1_family-12	DNA	TcMar-Tc1
rnd-1_family-24	DNA	PiggyBac
rnd-1_family-10	DNA	PiggyBac
rnd-1_family-57	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-13	DNA	PiggyBac
rnd-1_family-80	Unknown	Unknown
rnd-1_family-65	DNA	TcMar-Mariner
rnd-1_family-106	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-9	DNA	PiggyBac
rnd-1_family-89	Unknown	Unknown
rnd-1_family-63	DNA	TcMar-Pogo
rnd-1_family-16	DNA	TcMar-Tc1
rnd-1_family-49	Unknown	Unknown
rnd-1_family-18	DNA	TcMar-Tc1
rnd-1_family-87	Unknown	Unknown
rnd-1_family-6	DNA	TcMar-Tc1
rnd-1_family-32	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-25	DNA	TcMar-Tc1
rnd-1_family-92	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-44	DNA	Unknown
rnd-1_family-98	DNA	TcMar-Tc1
rnd-1_family-3	DNA	TcMar-Tc1
rnd-1_family-114	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-0	DNA	TcMar-Tc1
rnd-1_family-37	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-55	DNA	TcMar-Tc1
rnd-1_family-19	DNA	PiggyBac
rnd-1_family-78	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-1	DNA	TcMar-Tc1
rnd-1_family-90	Unknown	Unknown
rnd-1_family-31	DNA	TcMar-Tc1
rnd-1_family-125	DNA	TcMar-Tc4
rnd-1_family-35	DNA	TcMar-Tc1
rnd-1_family-67	Unknown	Unknown
rnd-1_family-8	DNA	TcMar-Tc1
rnd-1_family-5	DNA	TcMar-Tc1
rnd-1_family-74	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-79	DNA	TcMar-Tc1
rnd-1_family-50	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-77	DNA	TcMar-Tc4
rnd-1_family-27	DNA	TcMar-Tc1
rnd-1_family-95	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-23	DNA	PiggyBac
rnd-1_family-70	Unknown	Unknown
rnd-1_family-41	DNA	PiggyBac
rnd-1_family-43	DNA	TcMar-Mariner
rnd-1_family-121	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-2	DNA	TcMar-Tc1
rnd-1_family-62	DNA	TcMar-Pogo
rnd-1_family-54	LTR	Ngaro
rnd-1_family-122	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-26	DNA	TcMar-Tc1
rnd-1_family-123	Unknown	Unknown
rnd-1_family-4	DNA	TcMar-Tc1
rnd-1_family-113	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-48	DNA	TcMar-Mariner
rnd-1_family-75	Unknown	Unknown
rnd-1_family-109	DNA	Unknown
rnd-1_family-11	DNA	TcMar-Tc1
rnd-1_family-124	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
