ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Gypsy
ltr-1_family-34	LTR	Pao
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Gypsy
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-117	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-277	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-232	snRNA	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-194	DNA	TcMar-Tc1
rnd-1_family-260	Unknown	Unknown
rnd-1_family-76	DNA	PiggyBac
rnd-1_family-161	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-17	DNA	TcMar-Tc1
rnd-1_family-205	Unknown	Unknown
