ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Gypsy
ltr-1_family-102	LTR	Unknown
ltr-1_family-103	LTR	Gypsy
ltr-1_family-104	LTR	Unknown
ltr-1_family-105	LTR	Pao
ltr-1_family-106	LTR	Pao
ltr-1_family-107	LTR	Unknown
ltr-1_family-108	LTR	Gypsy
ltr-1_family-109	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Pao
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LINE	Penelope
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LINE	RTE-BovB
ltr-1_family-34	LINE	RTE-BovB
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LINE	CR1
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Gypsy
ltr-1_family-46	LTR	Gypsy
ltr-1_family-47	LTR	Gypsy
ltr-1_family-48	LINE	CR1
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Pao
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LINE	RTE-BovB
ltr-1_family-53	LTR	Gypsy
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Pao
ltr-1_family-58	LTR	Gypsy
ltr-1_family-59	LTR	Pao
ltr-1_family-60	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Gypsy
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Gypsy
ltr-1_family-65	LTR	Gypsy
ltr-1_family-66	LTR	Gypsy
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LTR	Gypsy
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-71	LTR	Gypsy
ltr-1_family-72	LTR	Pao
ltr-1_family-73	LTR	Gypsy
ltr-1_family-74	LTR	Gypsy
ltr-1_family-75	LTR	Gypsy
ltr-1_family-76	LTR	Gypsy
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	LTR	Unknown
ltr-1_family-79	LTR	Gypsy
ltr-1_family-80	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LTR	Unknown
ltr-1_family-82	tRNA	Unknown
ltr-1_family-83	LTR	Unknown
ltr-1_family-84	LINE	RTE-BovB
ltr-1_family-85	LTR	Gypsy
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LTR	Unknown
ltr-1_family-88	LTR	Gypsy
ltr-1_family-89	LTR	Gypsy
ltr-1_family-90	LTR	Gypsy
ltr-1_family-10	LTR	Gypsy
ltr-1_family-91	LTR	Unknown
ltr-1_family-92	LTR	Unknown
ltr-1_family-93	LTR	Unknown
ltr-1_family-94	LTR	Pao
ltr-1_family-95	LTR	Pao
ltr-1_family-96	LTR	Gypsy
ltr-1_family-97	LTR	Unknown
ltr-1_family-98	LTR	Unknown
ltr-1_family-99	LTR	Gypsy
ltr-1_family-100	LINE	L2
rnd-1_family-77	LINE	Penelope
rnd-1_family-112	LINE	CR1
rnd-1_family-67	LINE	RTE-BovB
rnd-1_family-85	LINE	RTE-BovB
rnd-1_family-119	LINE	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-128	LINE	L1-DRE
rnd-1_family-105	LINE	RTE-BovB
rnd-1_family-43	LINE	Penelope
rnd-1_family-23	Unknown	Unknown
rnd-1_family-63	LINE	RTE-BovB
rnd-1_family-142	DNA	MULE-MuDR
rnd-1_family-125	Unknown	Unknown
rnd-1_family-19	LINE	RTE-BovB
rnd-1_family-48	LINE	Penelope
rnd-1_family-20	Unknown	Unknown
rnd-1_family-42	LINE	Penelope
rnd-1_family-129	LINE	RTE-BovB
rnd-1_family-0	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-186	LINE	RTE-BovB
rnd-1_family-76	LINE	RTE-BovB
rnd-1_family-138	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-83	LINE	Penelope
rnd-1_family-126	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-159	DNA	MULE-MuDR
rnd-1_family-197	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-94	LINE	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-25	LINE	RTE-BovB
