ID	Order	Superfamily
ltr-1_family-1	LINE	RTE-BovB
ltr-1_family-2	LINE	RTE-BovB
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Gypsy
ltr-1_family-103	LTR	Unknown
ltr-1_family-104	LTR	Gypsy
ltr-1_family-105	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Pao
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LINE	CR1
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Pao
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LINE	RTE-BovB
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Pao
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Gypsy
ltr-1_family-43	LINE	RTE-BovB
ltr-1_family-44	LINE	RTE-BovB
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Gypsy
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Gypsy
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Pao
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LINE	CR1
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Gypsy
ltr-1_family-65	LTR	Unknown
ltr-1_family-66	LINE	RTE-BovB
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LINE	CR1
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Gypsy
ltr-1_family-8	LTR	Gypsy
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Gypsy
ltr-1_family-73	LTR	Unknown
ltr-1_family-74	LTR	Unknown
ltr-1_family-75	LTR	Gypsy
ltr-1_family-76	LTR	Unknown
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	LTR	Unknown
ltr-1_family-79	LTR	Gypsy
ltr-1_family-80	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LTR	Unknown
ltr-1_family-82	LTR	Unknown
ltr-1_family-83	LTR	Unknown
ltr-1_family-84	LTR	Unknown
ltr-1_family-85	LTR	Gypsy
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LTR	Unknown
ltr-1_family-88	LTR	Unknown
ltr-1_family-89	LTR	Unknown
ltr-1_family-90	LTR	Gypsy
ltr-1_family-10	LTR	Gypsy
ltr-1_family-91	LTR	Unknown
ltr-1_family-92	LTR	Gypsy
ltr-1_family-93	LTR	Unknown
ltr-1_family-94	LTR	Gypsy
ltr-1_family-95	LTR	Unknown
ltr-1_family-96	LTR	Gypsy
ltr-1_family-97	LTR	Unknown
ltr-1_family-98	LTR	Gypsy
ltr-1_family-99	LTR	Unknown
ltr-1_family-100	LTR	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-78	LINE	Penelope
rnd-1_family-80	LINE	RTE-BovB
rnd-1_family-77	LINE	Penelope
rnd-1_family-106	Unknown	Unknown
rnd-1_family-2	LINE	RTE-BovB
rnd-1_family-1	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-82	LINE	CR1
rnd-1_family-55	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-66	LINE	RTE-BovB
rnd-1_family-164	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-76	LINE	CR1
rnd-1_family-118	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-114	LINE	RTE-BovB
rnd-1_family-69	Unknown	Unknown
rnd-1_family-133	LINE	RTE-BovB
rnd-1_family-160	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-63	Simple_repeat	Unknown
