ID	Order	Superfamily
rnd-1_family-528	Unknown	Unknown
rnd-1_family-563	Unknown	Unknown
rnd-1_family-467	LINE	CR1
rnd-1_family-248	Unknown	Unknown
rnd-1_family-180	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-514	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-647	Unknown	Unknown
rnd-1_family-443	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-535	Unknown	Unknown
rnd-1_family-656	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-549	Unknown	Unknown
rnd-1_family-451	LINE	CR1
rnd-1_family-463	Unknown	Unknown
rnd-1_family-357	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-485	Unknown	Unknown
rnd-1_family-486	Unknown	Unknown
rnd-1_family-325	Unknown	Unknown
rnd-1_family-629	Unknown	Unknown
rnd-1_family-0	LTR	Ngaro
rnd-1_family-433	Unknown	Unknown
rnd-1_family-295	Unknown	Unknown
rnd-1_family-344	LINE	CR1
rnd-1_family-458	LINE	CR1
rnd-1_family-434	Unknown	Unknown
rnd-1_family-667	DNA	hAT-Charlie
rnd-1_family-3	Unknown	Unknown
rnd-1_family-247	Unknown	Unknown
rnd-1_family-588	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-593	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-363	Unknown	Unknown
rnd-1_family-241	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-456	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-293	Unknown	Unknown
rnd-1_family-642	LINE	Penelope
rnd-1_family-50	Unknown	Unknown
rnd-1_family-581	Unknown	Unknown
rnd-1_family-615	LINE	CR1
rnd-1_family-345	Unknown	Unknown
rnd-1_family-553	Unknown	Unknown
rnd-1_family-649	Unknown	Unknown
rnd-1_family-657	Unknown	Unknown
rnd-1_family-529	Unknown	Unknown
rnd-1_family-208	LINE	Penelope
rnd-1_family-29	Unknown	Unknown
rnd-1_family-383	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-429	Unknown	Unknown
rnd-1_family-650	Unknown	Unknown
rnd-1_family-387	Unknown	Unknown
rnd-1_family-326	Unknown	Unknown
rnd-1_family-193	LINE	Penelope
rnd-1_family-539	Unknown	Unknown
rnd-1_family-643	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-537	Unknown	Unknown
rnd-1_family-349	LINE	Penelope
rnd-1_family-671	LINE	CR1
rnd-1_family-166	Unknown	Unknown
rnd-1_family-378	Unknown	Unknown
rnd-1_family-4	LINE	Penelope
rnd-1_family-19	Unknown	Unknown
rnd-1_family-296	Unknown	Unknown
rnd-1_family-630	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-469	Unknown	Unknown
rnd-1_family-435	Unknown	Unknown
rnd-1_family-298	Unknown	Unknown
rnd-1_family-160	LINE	Penelope
rnd-1_family-280	Unknown	Unknown
rnd-1_family-483	LINE	Penelope
rnd-1_family-530	Unknown	Unknown
rnd-1_family-269	Unknown	Unknown
rnd-1_family-462	Unknown	Unknown
rnd-1_family-234	Unknown	Unknown
rnd-1_family-494	DNA	TcMar-Tc1
rnd-1_family-207	LINE	CR1
rnd-1_family-457	Unknown	Unknown
rnd-1_family-116	LINE	Penelope
rnd-1_family-668	LINE	CR1
rnd-1_family-430	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-390	Unknown	Unknown
