ID	Order	Superfamily
rnd-1_family-2	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-27	LTR	Gypsy
rnd-1_family-28	LTR	Gypsy
rnd-1_family-29	LTR	Gypsy
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	LTR	Gypsy
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	LTR	Gypsy
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	LINE	L1
rnd-1_family-39	Unknown	Unknown
rnd-2_family-12	Unknown	Unknown
rnd-2_family-23	DNA	TcMar-Mariner
rnd-2_family-5	Unknown	Unknown
rnd-2_family-8	Unknown	Unknown
rnd-3_family-13	Unknown	Unknown
rnd-3_family-69	DNA	TcMar-Mariner
rnd-3_family-22	Unknown	Unknown
rnd-3_family-81	Unknown	Unknown
rnd-3_family-75	LTR	Gypsy
rnd-3_family-71	Unknown	Unknown
rnd-3_family-41	Unknown	Unknown
rnd-3_family-19	Unknown	Unknown
rnd-3_family-116	LTR	Gypsy
rnd-3_family-76	Unknown	Unknown
rnd-3_family-94	Unknown	Unknown
rnd-3_family-25	Unknown	Unknown
rnd-4_family-91	Unknown	Unknown
rnd-4_family-66	DNA	TcMar-Mariner
rnd-4_family-3	Unknown	Unknown
rnd-4_family-11	Unknown	Unknown
rnd-4_family-81	Unknown	Unknown
rnd-4_family-1650	Unknown	Unknown
rnd-4_family-62	SINE	Alu
rnd-4_family-634	Unknown	Unknown
rnd-4_family-108	Unknown	Unknown
rnd-4_family-201	Unknown	Unknown
rnd-4_family-14	Unknown	Unknown
rnd-5_family-123	LINE	L1
rnd-5_family-57	Unknown	Unknown
rnd-5_family-5	Unknown	Unknown
rnd-5_family-312	Unknown	Unknown
rnd-5_family-50	Unknown	Unknown
rnd-5_family-10	Unknown	Unknown
rnd-5_family-368	Unknown	Unknown
rnd-5_family-510	Unknown	Unknown
rnd-5_family-427	Unknown	Unknown
rnd-5_family-215	Unknown	Unknown
rnd-5_family-20	Unknown	Unknown
rnd-5_family-672	Unknown	Unknown
rnd-5_family-447	Unknown	Unknown
rnd-5_family-413	LINE	L1
rnd-5_family-744	SINE	ID
rnd-5_family-86	Unknown	Unknown
rnd-5_family-428	Unknown	Unknown
rnd-5_family-572	Unknown	Unknown
rnd-5_family-52	Unknown	Unknown
rnd-5_family-313	Unknown	Unknown
rnd-5_family-1260	Unknown	Unknown
rnd-5_family-543	Unknown	Unknown
rnd-5_family-841	Unknown	Unknown
