ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Gypsy
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LINE	RTE-BovB
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Gypsy
ltr-1_family-34	LTR	Gypsy
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Gypsy
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Gypsy
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Gypsy
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Gypsy
ltr-1_family-6	LTR	Unknown
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Gypsy
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Gypsy
ltr-1_family-55	LTR	Gypsy
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Gypsy
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Gypsy
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Gypsy
ltr-1_family-65	LTR	Gypsy
ltr-1_family-66	LTR	Gypsy
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LTR	Gypsy
ltr-1_family-69	LTR	Pao
ltr-1_family-70	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-71	LTR	Gypsy
ltr-1_family-72	LTR	Pao
ltr-1_family-73	LTR	Gypsy
ltr-1_family-74	LTR	Unknown
ltr-1_family-75	LTR	Gypsy
ltr-1_family-76	LTR	Gypsy
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	LTR	Unknown
ltr-1_family-79	LTR	Gypsy
ltr-1_family-80	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LTR	Unknown
ltr-1_family-82	LTR	Gypsy
ltr-1_family-83	LTR	Gypsy
ltr-1_family-84	LTR	Unknown
ltr-1_family-85	LTR	Unknown
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LTR	Unknown
ltr-1_family-88	LTR	Unknown
ltr-1_family-89	LTR	Gypsy
ltr-1_family-90	LTR	Pao
ltr-1_family-10	LTR	Gypsy
ltr-1_family-91	LTR	Pao
ltr-1_family-92	LTR	Gypsy
ltr-1_family-93	LTR	Unknown
ltr-1_family-94	LTR	Pao
ltr-1_family-95	LTR	Unknown
ltr-1_family-96	LTR	Unknown
ltr-1_family-97	LTR	Unknown
ltr-1_family-98	LTR	Gypsy
ltr-1_family-99	LTR	Unknown
ltr-1_family-100	LTR	Gypsy
rnd-1_family-356	LINE	CR1
rnd-1_family-79	LINE	CR1
rnd-1_family-9	RC	Helitron
rnd-1_family-169	Unknown	Unknown
rnd-1_family-543	LTR	Gypsy
rnd-1_family-468	LINE	Rex-Babar
rnd-1_family-265	Unknown	Unknown
rnd-1_family-413	LINE	Rex-Babar
rnd-1_family-495	Unknown	Unknown
rnd-1_family-357	LINE	CR1
rnd-1_family-232	LTR	Pao
rnd-1_family-62	Unknown	Unknown
rnd-1_family-332	LTR	Gypsy
rnd-1_family-236	Unknown	Unknown
rnd-1_family-272	Unknown	Unknown
rnd-1_family-547	LINE	Unknown
rnd-1_family-539	Unknown	Unknown
rnd-1_family-363	LINE	RTE-BovB
rnd-1_family-206	LINE	CR1
rnd-1_family-28	LINE	CR1
rnd-1_family-289	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-532	Unknown	Unknown
rnd-1_family-121	LINE	CR1
rnd-1_family-144	Unknown	Unknown
rnd-1_family-455	LINE	CR1
rnd-1_family-33	LINE	CR1
rnd-1_family-452	LINE	CR1-Zenon
rnd-1_family-126	Unknown	Unknown
rnd-1_family-243	Unknown	Unknown
rnd-1_family-73	LINE	CR1
rnd-1_family-0	LINE	RTE-BovB
rnd-1_family-69	LINE	CR1
rnd-1_family-81	Unknown	Unknown
rnd-1_family-17	LINE	CR1
rnd-1_family-448	LINE	CR1
rnd-1_family-490	Unknown	Unknown
rnd-1_family-387	DNA	MULE-MuDR
rnd-1_family-25	LINE	CR1
rnd-1_family-89	Unknown	Unknown
rnd-1_family-342	LINE	Rex-Babar
rnd-1_family-154	Unknown	Unknown
rnd-1_family-548	LINE	CR1
rnd-1_family-403	Unknown	Unknown
rnd-1_family-549	Unknown	Unknown
rnd-1_family-296	Unknown	Unknown
