ID	Order	Superfamily
rnd-1_family-2	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	LTR	Pao
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	LTR	Pao
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	LTR	Pao
rnd-1_family-18	LTR	Pao
rnd-2_family-9	Unknown	Unknown
rnd-2_family-10	Unknown	Unknown
rnd-2_family-11	Unknown	Unknown
rnd-3_family-108	Unknown	Unknown
rnd-3_family-52	Unknown	Unknown
rnd-4_family-117	Simple_repeat	Unknown
rnd-4_family-100	Simple_repeat	Unknown
rnd-4_family-553	LTR	Pao
rnd-4_family-328	LTR	Pao
rnd-4_family-1	Unknown	Unknown
rnd-4_family-107	Simple_repeat	Unknown
rnd-4_family-421	Unknown	Unknown
rnd-4_family-16	Unknown	Unknown
rnd-4_family-59	Unknown	Unknown
rnd-4_family-295	Unknown	Unknown
rnd-4_family-211	Unknown	Unknown
rnd-4_family-258	Unknown	Unknown
rnd-4_family-138	Unknown	Unknown
rnd-5_family-36	Unknown	Unknown
rnd-5_family-1	Unknown	Unknown
rnd-5_family-125	LTR	Pao
rnd-5_family-1049	Unknown	Unknown
rnd-5_family-127	Unknown	Unknown
rnd-5_family-108	Unknown	Unknown
rnd-5_family-762	Unknown	Unknown
rnd-5_family-1536	Unknown	Unknown
rnd-5_family-214	Unknown	Unknown
