ID	Order	Superfamily
rnd-1_family-2	DNA	Sola-2
rnd-1_family-6	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-0	DNA	Sola-2
rnd-1_family-4	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	DNA	Merlin
rnd-1_family-11	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-47	DNA	Merlin
rnd-1_family-48	DNA	Merlin
rnd-1_family-49	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-58	LTR	Gypsy
rnd-1_family-59	Unknown	Unknown
rnd-1_family-60	Simple_repeat	Unknown
rnd-2_family-17	Unknown	Unknown
rnd-2_family-6	Simple_repeat	Unknown
rnd-3_family-63	Unknown	Unknown
rnd-3_family-14	Unknown	Unknown
rnd-3_family-116	Unknown	Unknown
rnd-3_family-338	Unknown	Unknown
rnd-4_family-3716	Unknown	Unknown
rnd-4_family-120	Unknown	Unknown
rnd-4_family-143	Unknown	Unknown
rnd-4_family-901	Unknown	Unknown
rnd-4_family-61	DNA	TcMar-Tc1
rnd-4_family-69	Unknown	Unknown
rnd-4_family-175	LTR	Pao
rnd-4_family-345	Unknown	Unknown
rnd-4_family-502	DNA	Sola-2
rnd-4_family-44	Unknown	Unknown
rnd-4_family-108	Unknown	Unknown
rnd-4_family-47	Unknown	Unknown
rnd-4_family-168	Unknown	Unknown
rnd-4_family-906	Unknown	Unknown
rnd-4_family-355	Simple_repeat	Unknown
rnd-4_family-207	Unknown	Unknown
rnd-4_family-905	Unknown	Unknown
rnd-4_family-704	Unknown	Unknown
rnd-4_family-1361	Unknown	Unknown
rnd-4_family-1219	DNA	hAT-Ac
rnd-4_family-335	Unknown	Unknown
rnd-4_family-638	Unknown	Unknown
rnd-4_family-1591	Unknown	Unknown
rnd-4_family-3732	Unknown	Unknown
