ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Pao
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Gypsy
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-298	Unknown	Unknown
rnd-1_family-240	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-215	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-366	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-349	Unknown	Unknown
rnd-1_family-275	Unknown	Unknown
rnd-1_family-262	Unknown	Unknown
rnd-1_family-370	Unknown	Unknown
rnd-1_family-273	Unknown	Unknown
rnd-1_family-315	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-302	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-346	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-295	Unknown	Unknown
rnd-1_family-305	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-350	Unknown	Unknown
rnd-1_family-256	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-330	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-299	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-219	Unknown	Unknown
rnd-1_family-351	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-353	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-324	Unknown	Unknown
rnd-1_family-362	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-251	Unknown	Unknown
rnd-1_family-311	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-369	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-277	DNA	hAT-Ac
rnd-1_family-170	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-265	Unknown	Unknown
rnd-1_family-157	Unknown	Unknown
rnd-1_family-197	Unknown	Unknown
rnd-1_family-309	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-278	Unknown	Unknown
rnd-1_family-347	Unknown	Unknown
rnd-1_family-341	Unknown	Unknown
rnd-1_family-367	Unknown	Unknown
rnd-1_family-378	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-340	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-231	Unknown	Unknown
rnd-1_family-286	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-242	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-248	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-335	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
