ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	DNA	TcMar-Mariner
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Pao
ltr-1_family-33	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-70	DNA	TcMar-Tc1
rnd-1_family-67	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-57	DNA	TcMar-Mariner
rnd-1_family-63	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-0	DNA	TcMar-Tc1
rnd-1_family-43	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-55	DNA	TcMar-Tc1
rnd-1_family-53	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-62	DNA	TcMar-Mariner
rnd-1_family-27	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-75	DNA	TcMar-Mariner
rnd-1_family-77	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-33	DNA	TcMar-Mariner
rnd-1_family-20	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-23	DNA	TcMar-Tc1
rnd-1_family-66	DNA	TcMar-Mariner
rnd-1_family-2	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-54	DNA	TcMar-Tc1
rnd-1_family-49	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-60	DNA	TcMar-Mariner
rnd-1_family-89	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-69	DNA	TcMar-Tc1
rnd-1_family-95	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-72	DNA	TcMar-Tc1
