ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Gypsy
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Gypsy
ltr-1_family-14	LTR	Unknown
ltr-1_family-3	LTR	Gypsy
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Gypsy
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-77	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-97	DNA	TcMar-Tc1
rnd-1_family-0	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-193	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-226	DNA	TcMar-Mariner
rnd-1_family-129	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-130	DNA	TcMar-Tc1
rnd-1_family-88	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-156	DNA	TcMar-Mariner
rnd-1_family-90	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-217	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-179	DNA	TcMar-Mariner
rnd-1_family-143	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-148	DNA	TcMar-Mariner
rnd-1_family-126	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-166	Unknown	Unknown
rnd-1_family-223	Unknown	Unknown
rnd-1_family-207	Unknown	Unknown
rnd-1_family-6	LTR	Gypsy
rnd-1_family-147	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-114	DNA	TcMar-Tc1
rnd-1_family-186	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-214	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-210	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-157	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-194	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-121	DNA	TcMar-Tc1
rnd-1_family-10	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-176	LTR	Gypsy
rnd-1_family-9	LTR	Gypsy
rnd-1_family-29	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-139	DNA	TcMar-Tc1
rnd-1_family-189	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-163	DNA	TcMar-Mariner
rnd-1_family-58	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-21	LTR	Gypsy
rnd-1_family-159	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-161	LTR	Gypsy
rnd-1_family-174	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-101	DNA	TcMar-Tc1
rnd-1_family-74	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-202	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
