ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Gypsy
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Gypsy
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-3	LTR	Gypsy
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-127	DNA	TcMar-Mariner
rnd-1_family-125	Unknown	Unknown
rnd-1_family-113	DNA	TcMar-Mariner
rnd-1_family-35	LINE	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-22	LINE	R2
rnd-1_family-165	Unknown	Unknown
rnd-1_family-163	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-4	LTR	Gypsy
rnd-1_family-158	Unknown	Unknown
rnd-1_family-159	rRNA	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-12	DNA	TcMar-Tc1
rnd-1_family-108	DNA	TcMar-Mariner
rnd-1_family-123	DNA	TcMar-Mariner
rnd-1_family-154	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-83	DNA	TcMar-Mariner
rnd-1_family-140	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-166	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-44	LINE	I-Jockey
rnd-1_family-38	LINE	I-Jockey
rnd-1_family-92	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-84	DNA	TcMar-Mariner
rnd-1_family-58	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-150	DNA	TcMar-Mariner
rnd-1_family-42	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-156	LTR	Gypsy
rnd-1_family-32	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-9	DNA	TcMar-Mariner
rnd-1_family-148	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-153	DNA	TcMar-Tc1
rnd-1_family-49	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-149	DNA	TcMar-Tc1
rnd-1_family-157	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-77	DNA	TcMar-Mariner
rnd-1_family-99	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-100	DNA	TcMar-Mariner
rnd-1_family-155	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-89	rRNA	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-169	DNA	TcMar-Mariner
rnd-1_family-16	Unknown	Unknown
