ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	DIRS
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Pao
ltr-1_family-18	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Gypsy
ltr-1_family-10	LTR	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-277	Unknown	Unknown
rnd-1_family-315	Unknown	Unknown
rnd-1_family-194	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-323	Unknown	Unknown
rnd-1_family-293	LINE	Penelope
rnd-1_family-65	Unknown	Unknown
rnd-1_family-352	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-386	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-303	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-351	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-299	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-278	LINE	RTE
rnd-1_family-314	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-391	Unknown	Unknown
rnd-1_family-267	Unknown	Unknown
rnd-1_family-367	Unknown	Unknown
rnd-1_family-211	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-343	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-24	LTR	Gypsy
rnd-1_family-282	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-242	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-149	LINE	Penelope
rnd-1_family-121	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-272	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-319	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
rnd-1_family-318	Unknown	Unknown
rnd-1_family-233	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-353	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-276	LINE	Penelope
rnd-1_family-85	Unknown	Unknown
rnd-1_family-335	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-279	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-240	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-268	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-209	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-262	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-208	Unknown	Unknown
rnd-1_family-186	DNA	TcMar-Tc4
rnd-1_family-108	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-348	Unknown	Unknown
rnd-1_family-60	LINE	Penelope
rnd-1_family-288	Unknown	Unknown
rnd-1_family-219	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-325	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-285	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-300	Unknown	Unknown
rnd-1_family-342	Unknown	Unknown
