ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Pao
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Gypsy
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Gypsy
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Gypsy
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Pao
ltr-1_family-44	LTR	Pao
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Gypsy
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Pao
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LINE	RTE-BovB
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Gypsy
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Gypsy
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Pao
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Gypsy
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Pao
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Gypsy
ltr-1_family-65	LTR	Gypsy
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Gypsy
ltr-1_family-68	LTR	Unknown
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Pao
ltr-1_family-8	LTR	Unknown
ltr-1_family-71	LINE	RTE-BovB
ltr-1_family-72	LTR	Unknown
ltr-1_family-73	LTR	Unknown
ltr-1_family-74	LTR	Gypsy
ltr-1_family-75	LTR	Unknown
ltr-1_family-76	LTR	Gypsy
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	LTR	Gypsy
ltr-1_family-79	LTR	Unknown
ltr-1_family-80	LTR	Unknown
ltr-1_family-9	LTR	Gypsy
ltr-1_family-81	LTR	Unknown
ltr-1_family-82	LTR	Gypsy
ltr-1_family-83	LTR	Unknown
ltr-1_family-84	LTR	Unknown
ltr-1_family-85	LTR	Gypsy
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LINE	Penelope
ltr-1_family-10	LTR	Pao
rnd-1_family-80	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-45	LINE	RTE-BovB
rnd-1_family-61	LINE	CR1
rnd-1_family-97	DNA	MULE-MuDR
rnd-1_family-63	LINE	RTE-BovB
rnd-1_family-178	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-34	LINE	RTE-BovB
rnd-1_family-29	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-27	LINE	RTE-BovB
rnd-1_family-88	LINE	RTE-BovB
rnd-1_family-72	LINE	RTE-BovB
rnd-1_family-108	Unknown	Unknown
rnd-1_family-132	LINE	RTE-BovB
rnd-1_family-79	LINE	Penelope
rnd-1_family-8	Unknown	Unknown
rnd-1_family-91	LINE	Penelope
rnd-1_family-58	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-17	LINE	RTE-BovB
rnd-1_family-161	Unknown	Unknown
rnd-1_family-81	LINE	CR1
rnd-1_family-10	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-68	LINE	Penelope
rnd-1_family-16	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-113	LINE	CR1
rnd-1_family-139	DNA	MULE-MuDR
rnd-1_family-167	Unknown	Unknown
rnd-1_family-48	LINE	RTE-BovB
rnd-1_family-1	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-64	LINE	RTE-BovB
rnd-1_family-160	Unknown	Unknown
rnd-1_family-179	LTR	Pao
rnd-1_family-76	Unknown	Unknown
rnd-1_family-127	LINE	CR1
rnd-1_family-18	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-67	LINE	RTE-BovB
rnd-1_family-20	LINE	RTE-BovB
rnd-1_family-187	LINE	CR1
rnd-1_family-89	LINE	RTE-BovB
rnd-1_family-118	LINE	R2
rnd-1_family-41	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
