ID	Order	Superfamily
rnd-1_family-1	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-4	LINE	L1
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	LINE	L1
rnd-1_family-7	LINE	L1
rnd-1_family-8	LINE	L1
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	LINE	L1
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	LINE	L1
rnd-1_family-15	LINE	L1
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	LINE	L1
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	LINE	L1
rnd-1_family-26	LINE	L1
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	LINE	L1
rnd-1_family-27	LINE	L1
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	LINE	L1
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-3_family-8	LTR	Gypsy
rnd-3_family-81	Simple_repeat	Unknown
rnd-3_family-37	Unknown	Unknown
rnd-3_family-3	LINE	L1
rnd-4_family-79	LINE	RTE-RTE
rnd-4_family-169	LINE	Penelope
rnd-4_family-41	Unknown	Unknown
rnd-4_family-361	Unknown	Unknown
rnd-4_family-182	LINE	L1
rnd-4_family-66	Unknown	Unknown
rnd-4_family-265	Unknown	Unknown
rnd-4_family-23	Unknown	Unknown
rnd-4_family-64	LINE	L1
rnd-4_family-56	LINE	L1
rnd-4_family-121	Simple_repeat	Unknown
rnd-4_family-120	Unknown	Unknown
rnd-4_family-427	LINE	RTE-RTE
rnd-4_family-102	Unknown	Unknown
rnd-4_family-158	DNA	hAT-Ac
rnd-4_family-323	LINE	CR1
rnd-4_family-21	Unknown	Unknown
rnd-4_family-13	Unknown	Unknown
rnd-4_family-199	Unknown	Unknown
rnd-4_family-315	LINE	RTE-RTE
rnd-4_family-101	LINE	L1
rnd-4_family-73	Unknown	Unknown
rnd-4_family-52	LTR	Pao
rnd-4_family-171	Unknown	Unknown
rnd-4_family-54	Unknown	Unknown
rnd-4_family-409	Unknown	Unknown
rnd-5_family-17	LINE	L1
rnd-5_family-639	Unknown	Unknown
rnd-5_family-80	Unknown	Unknown
rnd-5_family-1913	Unknown	Unknown
rnd-5_family-538	Unknown	Unknown
rnd-5_family-1673	LTR	ERVL-MaLR
rnd-5_family-827	LTR	Pao
