ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Pao
ltr-1_family-10	LTR	Unknown
rnd-1_family-6	LINE	RTE-RTE
rnd-1_family-5	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	tRNA	Unknown
rnd-1_family-15	LTR	Pao
rnd-1_family-16	LTR	Pao
rnd-1_family-17	LTR	Pao
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	LINE	RTE-RTE
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	LTR	Pao
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	tRNA	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	tRNA	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-3_family-141	LINE	RTE-RTE
rnd-3_family-25	Unknown	Unknown
rnd-4_family-124	Unknown	Unknown
rnd-4_family-509	Unknown	Unknown
rnd-4_family-285	Unknown	Unknown
rnd-4_family-90	LINE	RTE-RTE
rnd-4_family-15	LINE	CR1-Zenon
rnd-4_family-3	Unknown	Unknown
rnd-4_family-357	LINE	CR1
rnd-4_family-62	Unknown	Unknown
rnd-4_family-31	LINE	CR1
rnd-4_family-379	Unknown	Unknown
rnd-4_family-20	Unknown	Unknown
rnd-4_family-454	LINE	CR1
rnd-4_family-87	LINE	CR1
rnd-4_family-342	Unknown	Unknown
rnd-4_family-335	Unknown	Unknown
rnd-4_family-325	Unknown	Unknown
rnd-4_family-51	LINE	CR1
rnd-5_family-1528	Unknown	Unknown
rnd-5_family-824	LINE	RTE-RTE
rnd-5_family-105	LINE	RTE-RTE
rnd-5_family-95	LINE	Penelope
rnd-5_family-797	Unknown	Unknown
rnd-5_family-4283	tRNA	Unknown
rnd-5_family-435	Unknown	Unknown
rnd-5_family-1025	Unknown	Unknown
rnd-5_family-2483	Unknown	Unknown
rnd-5_family-11	Unknown	Unknown
rnd-5_family-753	LTR	Gypsy
rnd-5_family-1070	Unknown	Unknown
rnd-5_family-50	Simple_repeat	Unknown
rnd-5_family-250	Unknown	Unknown
rnd-5_family-122	Unknown	Unknown
rnd-5_family-845	Unknown	Unknown
rnd-5_family-2540	Unknown	Unknown
rnd-5_family-277	Unknown	Unknown
rnd-5_family-1683	Unknown	Unknown
rnd-5_family-754	Unknown	Unknown
rnd-5_family-1794	Unknown	Unknown
rnd-5_family-233	LINE	CR1
rnd-5_family-6160	Unknown	Unknown
rnd-5_family-1147	Unknown	Unknown
rnd-5_family-1243	Unknown	Unknown
