ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Pao
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Pao
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Pao
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Pao
ltr-1_family-6	LTR	Unknown
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Pao
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Gypsy
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Pao
ltr-1_family-63	LTR	Gypsy
ltr-1_family-64	LTR	Unknown
ltr-1_family-65	LTR	Gypsy
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Pao
ltr-1_family-68	LTR	Unknown
ltr-1_family-69	LTR	Gypsy
ltr-1_family-70	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-71	LTR	Gypsy
ltr-1_family-72	LTR	Unknown
ltr-1_family-73	LTR	Gypsy
ltr-1_family-74	LTR	Unknown
ltr-1_family-75	LTR	Unknown
ltr-1_family-76	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-376	Unknown	Unknown
rnd-1_family-485	Unknown	Unknown
rnd-1_family-326	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-395	Unknown	Unknown
rnd-1_family-313	Unknown	Unknown
rnd-1_family-250	Unknown	Unknown
rnd-1_family-193	Unknown	Unknown
rnd-1_family-278	Unknown	Unknown
rnd-1_family-513	Unknown	Unknown
rnd-1_family-430	Unknown	Unknown
rnd-1_family-207	Unknown	Unknown
rnd-1_family-241	Unknown	Unknown
rnd-1_family-228	LINE	RTE-RTE
rnd-1_family-158	Unknown	Unknown
rnd-1_family-424	Unknown	Unknown
rnd-1_family-473	Unknown	Unknown
rnd-1_family-280	Unknown	Unknown
rnd-1_family-350	Unknown	Unknown
rnd-1_family-331	DNA	TcMar-Mariner
rnd-1_family-295	Unknown	Unknown
rnd-1_family-357	Unknown	Unknown
rnd-1_family-369	Unknown	Unknown
rnd-1_family-498	Unknown	Unknown
rnd-1_family-465	Unknown	Unknown
rnd-1_family-221	Unknown	Unknown
rnd-1_family-383	LINE	RTE-RTE
rnd-1_family-202	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-478	Unknown	Unknown
rnd-1_family-444	DNA	TcMar-Mariner
rnd-1_family-187	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-338	Unknown	Unknown
rnd-1_family-355	Unknown	Unknown
rnd-1_family-398	Unknown	Unknown
rnd-1_family-399	Unknown	Unknown
rnd-1_family-489	Unknown	Unknown
rnd-1_family-289	Unknown	Unknown
rnd-1_family-287	LINE	L2
rnd-1_family-474	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-517	Unknown	Unknown
rnd-1_family-273	Unknown	Unknown
rnd-1_family-322	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-244	Unknown	Unknown
rnd-1_family-463	Unknown	Unknown
rnd-1_family-449	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-490	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-324	Unknown	Unknown
rnd-1_family-374	Unknown	Unknown
rnd-1_family-455	Unknown	Unknown
rnd-1_family-212	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-230	LINE	CR1
rnd-1_family-305	Unknown	Unknown
rnd-1_family-345	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-421	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
