ID	Order	Superfamily
rnd-1_family-223	LINE	Penelope
rnd-1_family-45	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-203	Unknown	Unknown
rnd-1_family-276	Unknown	Unknown
rnd-1_family-269	Unknown	Unknown
rnd-1_family-241	Unknown	Unknown
rnd-1_family-292	Unknown	Unknown
rnd-1_family-231	Unknown	Unknown
rnd-1_family-245	Unknown	Unknown
rnd-1_family-73	LINE	Penelope
rnd-1_family-271	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-252	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-221	LINE	Penelope
rnd-1_family-242	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-158	LINE	Penelope
rnd-1_family-227	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-197	Unknown	Unknown
rnd-1_family-219	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-214	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-229	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-178	LINE	Penelope
rnd-1_family-161	Unknown	Unknown
rnd-1_family-150	LINE	Penelope
rnd-1_family-275	Unknown	Unknown
rnd-1_family-196	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-235	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-208	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-243	Unknown	Unknown
rnd-1_family-247	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-253	DNA	hAT-Charlie
rnd-1_family-293	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-224	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-108	LINE	Penelope
rnd-1_family-74	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
