ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Gypsy
ltr-1_family-4	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LINE	RTE-BovB
rnd-1_family-126	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-314	LINE	RTE-BovB
rnd-1_family-165	Unknown	Unknown
rnd-1_family-50	LINE	RTE-BovB
rnd-1_family-328	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-305	LINE	RTE-BovB
rnd-1_family-276	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-229	LINE	CR1
rnd-1_family-357	LINE	RTE-BovB
rnd-1_family-335	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-307	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-265	Unknown	Unknown
rnd-1_family-297	Unknown	Unknown
rnd-1_family-351	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-341	Unknown	Unknown
rnd-1_family-310	Unknown	Unknown
rnd-1_family-207	LINE	CR1
rnd-1_family-177	Unknown	Unknown
rnd-1_family-205	LINE	RTE-BovB
rnd-1_family-293	LINE	CR1
rnd-1_family-139	Unknown	Unknown
rnd-1_family-226	LINE	Penelope
rnd-1_family-174	LINE	RTE-BovB
rnd-1_family-336	Unknown	Unknown
rnd-1_family-286	Unknown	Unknown
rnd-1_family-316	Unknown	Unknown
rnd-1_family-90	LINE	RTE-BovB
rnd-1_family-347	LINE	CR1
rnd-1_family-282	LINE	Penelope
rnd-1_family-333	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-181	LINE	CR1
rnd-1_family-41	Unknown	Unknown
rnd-1_family-261	Unknown	Unknown
rnd-1_family-169	LINE	Unknown
rnd-1_family-322	Unknown	Unknown
rnd-1_family-203	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-210	Unknown	Unknown
rnd-1_family-187	Unknown	Unknown
rnd-1_family-337	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-275	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-218	LINE	RTE-BovB
rnd-1_family-320	LINE	Penelope
rnd-1_family-264	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-231	Unknown	Unknown
rnd-1_family-222	LINE	Penelope
rnd-1_family-168	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-237	LINE	Penelope
rnd-1_family-211	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-252	Unknown	Unknown
rnd-1_family-98	LINE	Penelope
rnd-1_family-192	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-184	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-279	Unknown	Unknown
rnd-1_family-352	LINE	CR1
rnd-1_family-112	LINE	RTE-BovB
rnd-1_family-321	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-200	LINE	Penelope
rnd-1_family-298	Unknown	Unknown
rnd-1_family-343	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-273	LINE	Penelope
rnd-1_family-263	LINE	RTE-BovB
rnd-1_family-306	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-360	Unknown	Unknown
rnd-1_family-318	Unknown	Unknown
rnd-1_family-4	LTR	Gypsy
rnd-1_family-1	LTR	Gypsy
rnd-1_family-121	Unknown	Unknown
rnd-1_family-346	Unknown	Unknown
rnd-1_family-268	LTR	Gypsy
rnd-1_family-287	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-313	LINE	CR1
rnd-1_family-156	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-47	LINE	RTE-BovB
rnd-1_family-301	Unknown	Unknown
rnd-1_family-326	Unknown	Unknown
