ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LINE	RTE-BovB
ltr-1_family-12	LTR	Pao
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-4	LINE	RTE-BovB
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-145	LTR	Gypsy
rnd-1_family-107	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-292	LTR	Gypsy
rnd-1_family-289	Unknown	Unknown
rnd-1_family-276	LINE	CR1
rnd-1_family-120	LINE	Penelope
rnd-1_family-222	LINE	CR1
rnd-1_family-43	LINE	RTE-BovB
rnd-1_family-40	Unknown	Unknown
rnd-1_family-265	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-208	LINE	Rex-Babar
rnd-1_family-326	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-319	LINE	CR1
rnd-1_family-259	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-350	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-357	Unknown	Unknown
rnd-1_family-187	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-313	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-226	LTR	Gypsy
rnd-1_family-152	Unknown	Unknown
rnd-1_family-224	Unknown	Unknown
rnd-1_family-286	Unknown	Unknown
rnd-1_family-351	Unknown	Unknown
rnd-1_family-109	LINE	RTE-BovB
rnd-1_family-240	LINE	Penelope
rnd-1_family-101	Unknown	Unknown
rnd-1_family-191	LINE	RTE-BovB
rnd-1_family-166	LINE	RTE-BovB
rnd-1_family-133	LINE	RTE-BovB
rnd-1_family-86	Unknown	Unknown
rnd-1_family-233	LINE	CR1
rnd-1_family-267	Unknown	Unknown
rnd-1_family-295	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-217	LINE	CR1
rnd-1_family-325	Unknown	Unknown
rnd-1_family-344	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-260	LINE	CR1
rnd-1_family-271	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-322	Unknown	Unknown
rnd-1_family-256	LINE	RTE-BovB
rnd-1_family-324	DNA	Merlin
rnd-1_family-138	Unknown	Unknown
rnd-1_family-214	LINE	Penelope
rnd-1_family-29	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-277	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-168	LINE	RTE-BovB
rnd-1_family-287	LINE	CR1
rnd-1_family-188	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-348	Unknown	Unknown
rnd-1_family-335	Unknown	Unknown
rnd-1_family-264	Unknown	Unknown
rnd-1_family-231	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-236	LINE	RTE-BovB
rnd-1_family-333	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-343	LTR	Gypsy
rnd-1_family-336	Unknown	Unknown
rnd-1_family-305	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
