ID	Order	Superfamily
rnd-1_family-0	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-3_family-43	Simple_repeat	Unknown
rnd-3_family-56	Unknown	Unknown
rnd-4_family-125	Simple_repeat	Unknown
rnd-4_family-57	Unknown	Unknown
rnd-4_family-67	Unknown	Unknown
rnd-4_family-433	Unknown	Unknown
rnd-5_family-54	Simple_repeat	Unknown
rnd-5_family-9	Unknown	Unknown
rnd-5_family-1001	Unknown	Unknown
rnd-5_family-868	Unknown	Unknown
rnd-5_family-44	rRNA	Unknown
rnd-5_family-266	Unknown	Unknown
rnd-5_family-19	Unknown	Unknown
rnd-5_family-540	Unknown	Unknown
