ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Gypsy
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-406	LINE	CR1
rnd-1_family-212	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-226	LINE	Penelope
rnd-1_family-30	LINE	Penelope
rnd-1_family-244	Unknown	Unknown
rnd-1_family-291	Unknown	Unknown
rnd-1_family-409	LTR	Gypsy
rnd-1_family-46	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-245	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-202	LINE	CR1
rnd-1_family-95	LINE	CR1
rnd-1_family-383	LINE	CR1
rnd-1_family-354	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-161	LINE	RTE-BovB
rnd-1_family-31	Unknown	Unknown
rnd-1_family-229	LINE	RTE-BovB
rnd-1_family-190	LINE	Penelope
rnd-1_family-165	Unknown	Unknown
rnd-1_family-255	Unknown	Unknown
rnd-1_family-334	Unknown	Unknown
rnd-1_family-18	tRNA	Unknown
rnd-1_family-10	LINE	Penelope
rnd-1_family-142	Unknown	Unknown
rnd-1_family-76	LINE	Penelope
rnd-1_family-309	LINE	CR1
rnd-1_family-209	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-391	Unknown	Unknown
rnd-1_family-38	LINE	Penelope
rnd-1_family-0	Unknown	Unknown
rnd-1_family-136	LINE	RTE-BovB
rnd-1_family-417	LINE	CR1
rnd-1_family-108	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-378	DNA	TcMar-Tc1
rnd-1_family-237	LINE	CR1
rnd-1_family-1	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-130	LINE	RTE-BovB
rnd-1_family-176	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-410	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-114	LINE	Penelope
rnd-1_family-27	Unknown	Unknown
rnd-1_family-340	LINE	Penelope
rnd-1_family-91	LINE	RTE-BovB
rnd-1_family-430	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-162	DNA	Merlin
rnd-1_family-157	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-403	Unknown	Unknown
rnd-1_family-120	LINE	CR1
rnd-1_family-348	Unknown	Unknown
rnd-1_family-298	Unknown	Unknown
rnd-1_family-207	LINE	CR1
rnd-1_family-89	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-331	LINE	CR1
rnd-1_family-431	Unknown	Unknown
rnd-1_family-124	LINE	Penelope
rnd-1_family-380	LINE	CR1
rnd-1_family-432	LINE	CR1
rnd-1_family-184	Unknown	Unknown
rnd-1_family-411	LTR	Gypsy
rnd-1_family-330	Unknown	Unknown
rnd-1_family-347	Unknown	Unknown
rnd-1_family-394	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-361	LINE	Penelope
rnd-1_family-368	LINE	Penelope
rnd-1_family-24	Unknown	Unknown
rnd-1_family-314	LINE	CR1
rnd-1_family-219	LINE	CR1
rnd-1_family-379	LINE	CR1
rnd-1_family-42	Unknown	Unknown
rnd-1_family-333	Unknown	Unknown
rnd-1_family-273	LINE	Penelope
rnd-1_family-307	Unknown	Unknown
rnd-1_family-388	LINE	CR1
rnd-1_family-254	Unknown	Unknown
rnd-1_family-110	LINE	RTE-BovB
rnd-1_family-98	LINE	Penelope
rnd-1_family-324	LINE	RTE-BovB
rnd-1_family-327	Unknown	Unknown
rnd-1_family-170	LINE	CR1
rnd-1_family-78	LINE	Penelope
rnd-1_family-213	LINE	Penelope
rnd-1_family-206	LINE	Penelope
rnd-1_family-328	Unknown	Unknown
rnd-1_family-19	LINE	Penelope
rnd-1_family-346	LINE	CR1
rnd-1_family-14	Unknown	Unknown
rnd-1_family-181	LINE	Penelope
rnd-1_family-113	LINE	Penelope
rnd-1_family-45	Unknown	Unknown
rnd-1_family-159	LINE	Penelope
rnd-1_family-155	Unknown	Unknown
rnd-1_family-135	LINE	Penelope
rnd-1_family-32	Unknown	Unknown
rnd-1_family-263	Unknown	Unknown
rnd-1_family-105	LINE	CR1
rnd-1_family-297	LINE	Penelope
rnd-1_family-389	LINE	CR1
rnd-1_family-274	Unknown	Unknown
rnd-1_family-342	LINE	CR1
rnd-1_family-195	LINE	CR1
rnd-1_family-292	LINE	CR1
rnd-1_family-72	Unknown	Unknown
rnd-1_family-414	LTR	Gypsy
rnd-1_family-310	Unknown	Unknown
rnd-1_family-296	Unknown	Unknown
rnd-1_family-283	Unknown	Unknown
rnd-1_family-318	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
rnd-1_family-234	Unknown	Unknown
rnd-1_family-128	LINE	RTE-BovB
rnd-1_family-53	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-16	LINE	Penelope
rnd-1_family-9	Unknown	Unknown
rnd-1_family-315	Unknown	Unknown
rnd-1_family-400	Unknown	Unknown
