ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Copia
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Copia
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Copia
ltr-1_family-26	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Gypsy
ltr-1_family-10	LTR	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-246	Unknown	Unknown
rnd-1_family-271	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-325	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-124	DNA	MULE-MuDR
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-347	DNA	hAT-Charlie
rnd-1_family-42	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-291	LTR	Gypsy
rnd-1_family-60	DNA	hAT-Tip100
rnd-1_family-161	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-292	Unknown	Unknown
rnd-1_family-289	LTR	Pao
rnd-1_family-259	Unknown	Unknown
rnd-1_family-130	DNA	TcMar-Tigger
rnd-1_family-129	LTR	Gypsy
rnd-1_family-193	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-203	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-317	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-254	Unknown	Unknown
rnd-1_family-217	Unknown	Unknown
rnd-1_family-269	LTR	Pao
rnd-1_family-218	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-278	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-163	LTR	Gypsy
rnd-1_family-200	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-54	DNA	MULE-MuDR
rnd-1_family-149	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-75	DNA	hAT-Tip100
rnd-1_family-40	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-309	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-224	Unknown	Unknown
rnd-1_family-209	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-240	DNA	hAT-Charlie
rnd-1_family-313	Unknown	Unknown
rnd-1_family-297	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-247	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-303	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-333	Unknown	Unknown
rnd-1_family-329	Unknown	Unknown
rnd-1_family-338	Unknown	Unknown
rnd-1_family-345	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-293	Unknown	Unknown
rnd-1_family-342	LTR	Gypsy
rnd-1_family-112	Unknown	Unknown
rnd-1_family-158	Unknown	Unknown
rnd-1_family-352	DNA	hAT-Charlie
rnd-1_family-339	Unknown	Unknown
rnd-1_family-233	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-266	Unknown	Unknown
rnd-1_family-270	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-353	Unknown	Unknown
rnd-1_family-62	DNA	MULE-MuDR
rnd-1_family-232	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-314	Unknown	Unknown
rnd-1_family-223	Unknown	Unknown
rnd-1_family-244	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
