ID	Order	Superfamily
rnd-1_family-1	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-19	LTR	Pao
rnd-1_family-20	LTR	Pao
rnd-1_family-22	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-23	LTR	Pao
rnd-1_family-25	LTR	Pao
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	LTR	Pao
rnd-1_family-30	LTR	Pao
rnd-1_family-31	LTR	Pao
rnd-1_family-32	LTR	Pao
rnd-1_family-33	LTR	Pao
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	LTR	Pao
rnd-1_family-36	LTR	Pao
rnd-1_family-37	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	LTR	Pao
rnd-1_family-45	LTR	Pao
rnd-1_family-46	LTR	Pao
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	LTR	Pao
rnd-1_family-49	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-58	LTR	Pao
rnd-1_family-59	LTR	Pao
rnd-1_family-60	LTR	Pao
rnd-1_family-61	LTR	Pao
rnd-1_family-62	Unknown	Unknown
rnd-1_family-63	LTR	Pao
rnd-1_family-64	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-3_family-37	Unknown	Unknown
rnd-3_family-40	Unknown	Unknown
rnd-3_family-141	Unknown	Unknown
rnd-4_family-39	LTR	Pao
rnd-4_family-40	LTR	Pao
rnd-4_family-424	Unknown	Unknown
rnd-4_family-668	Unknown	Unknown
rnd-4_family-696	Unknown	Unknown
rnd-4_family-28	Unknown	Unknown
rnd-4_family-396	Unknown	Unknown
rnd-4_family-78	Unknown	Unknown
rnd-4_family-525	Unknown	Unknown
rnd-4_family-607	Unknown	Unknown
rnd-4_family-153	Unknown	Unknown
rnd-5_family-124	Unknown	Unknown
rnd-5_family-777	Unknown	Unknown
rnd-5_family-1083	Unknown	Unknown
rnd-5_family-2	Unknown	Unknown
rnd-5_family-208	LTR	Pao
rnd-5_family-1255	Unknown	Unknown
rnd-5_family-224	Unknown	Unknown
rnd-5_family-528	LTR	Pao
rnd-5_family-282	DNA	TcMar-Mariner
rnd-5_family-5646	Unknown	Unknown
rnd-5_family-2527	Unknown	Unknown
rnd-5_family-113	Unknown	Unknown
rnd-5_family-1222	Unknown	Unknown
rnd-5_family-143	Unknown	Unknown
rnd-5_family-1165	LTR	Pao
rnd-5_family-1755	Unknown	Unknown
rnd-5_family-191	Unknown	Unknown
rnd-5_family-369	LINE	RTE-BovB
rnd-5_family-406	Unknown	Unknown
rnd-5_family-907	Unknown	Unknown
rnd-5_family-68	Unknown	Unknown
rnd-5_family-176	Unknown	Unknown
