ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Pao
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Pao
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Pao
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Gypsy
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Pao
ltr-1_family-47	LTR	Gypsy
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Gypsy
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	tRNA	Unknown
ltr-1_family-51	LTR	Gypsy
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Gypsy
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Gypsy
ltr-1_family-59	LTR	Pao
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-260	Unknown	Unknown
rnd-1_family-811	Unknown	Unknown
rnd-1_family-344	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-493	Unknown	Unknown
rnd-1_family-877	Unknown	Unknown
rnd-1_family-1094	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-836	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-549	Unknown	Unknown
rnd-1_family-246	RC	Helitron
rnd-1_family-637	Unknown	Unknown
rnd-1_family-1168	Unknown	Unknown
rnd-1_family-962	Unknown	Unknown
rnd-1_family-371	Unknown	Unknown
rnd-1_family-768	Unknown	Unknown
rnd-1_family-1077	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-963	Unknown	Unknown
rnd-1_family-439	Unknown	Unknown
rnd-1_family-821	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-1030	Unknown	Unknown
rnd-1_family-1224	Unknown	Unknown
rnd-1_family-463	Unknown	Unknown
rnd-1_family-346	Unknown	Unknown
rnd-1_family-1216	Unknown	Unknown
rnd-1_family-356	Unknown	Unknown
rnd-1_family-1115	Unknown	Unknown
rnd-1_family-298	Unknown	Unknown
rnd-1_family-314	Unknown	Unknown
rnd-1_family-56	DNA	MULE-MuDR
rnd-1_family-88	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-276	Unknown	Unknown
rnd-1_family-361	Unknown	Unknown
rnd-1_family-1104	Unknown	Unknown
rnd-1_family-278	Unknown	Unknown
rnd-1_family-408	Unknown	Unknown
rnd-1_family-1153	Simple_repeat	Unknown
rnd-1_family-707	Unknown	Unknown
rnd-1_family-297	Unknown	Unknown
rnd-1_family-929	Unknown	Unknown
rnd-1_family-557	Unknown	Unknown
rnd-1_family-263	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-1105	Unknown	Unknown
rnd-1_family-440	Unknown	Unknown
rnd-1_family-1078	Unknown	Unknown
rnd-1_family-485	Unknown	Unknown
rnd-1_family-680	Unknown	Unknown
rnd-1_family-1151	Unknown	Unknown
rnd-1_family-309	Simple_repeat	Unknown
rnd-1_family-990	Unknown	Unknown
rnd-1_family-669	DNA	MULE-MuDR
rnd-1_family-1081	Unknown	Unknown
rnd-1_family-542	Unknown	Unknown
rnd-1_family-302	Unknown	Unknown
rnd-1_family-479	Unknown	Unknown
rnd-1_family-319	Unknown	Unknown
rnd-1_family-746	Unknown	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-734	RC	Helitron
rnd-1_family-688	Unknown	Unknown
rnd-1_family-741	Unknown	Unknown
rnd-1_family-369	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-279	Unknown	Unknown
rnd-1_family-660	Unknown	Unknown
rnd-1_family-689	Unknown	Unknown
rnd-1_family-1055	Unknown	Unknown
rnd-1_family-934	Unknown	Unknown
rnd-1_family-568	Unknown	Unknown
rnd-1_family-906	Unknown	Unknown
rnd-1_family-365	Unknown	Unknown
rnd-1_family-214	DNA	MULE-MuDR
rnd-1_family-841	Unknown	Unknown
rnd-1_family-1110	Unknown	Unknown
rnd-1_family-685	Unknown	Unknown
rnd-1_family-508	Unknown	Unknown
rnd-1_family-801	Unknown	Unknown
