ID	Order	Superfamily
rnd-1_family-155	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-277	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-240	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
rnd-1_family-223	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-287	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-253	Unknown	Unknown
rnd-1_family-204	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-282	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-281	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-246	Unknown	Unknown
rnd-1_family-211	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-262	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-267	Unknown	Unknown
rnd-1_family-303	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-300	Unknown	Unknown
rnd-1_family-309	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-249	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-263	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-202	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-288	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-196	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-205	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
