ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Pao
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Gypsy
ltr-1_family-103	LTR	Unknown
ltr-1_family-104	LTR	Unknown
ltr-1_family-105	LTR	Gypsy
ltr-1_family-106	LTR	Unknown
ltr-1_family-107	DNA	TcMar-Tc1
ltr-1_family-108	LTR	Unknown
ltr-1_family-109	LTR	Pao
ltr-1_family-110	LTR	Unknown
ltr-1_family-12	LTR	Pao
ltr-1_family-111	LTR	Unknown
ltr-1_family-112	LTR	Pao
ltr-1_family-113	LTR	Pao
ltr-1_family-114	LTR	Unknown
ltr-1_family-115	LTR	Unknown
ltr-1_family-116	LTR	Gypsy
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Gypsy
ltr-1_family-119	LTR	Gypsy
ltr-1_family-120	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	LTR	Gypsy
ltr-1_family-122	LTR	Unknown
ltr-1_family-123	LTR	Gypsy
ltr-1_family-124	LTR	Unknown
ltr-1_family-125	LTR	Unknown
ltr-1_family-126	LTR	Gypsy
ltr-1_family-127	LTR	Unknown
ltr-1_family-128	LTR	Pao
ltr-1_family-129	LTR	Unknown
ltr-1_family-130	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-131	LTR	Gypsy
ltr-1_family-132	LTR	Gypsy
ltr-1_family-133	LTR	Unknown
ltr-1_family-134	LTR	Pao
ltr-1_family-135	LTR	ERV1
ltr-1_family-136	LTR	Pao
ltr-1_family-137	LTR	Unknown
ltr-1_family-138	LTR	Unknown
ltr-1_family-139	LTR	Unknown
ltr-1_family-140	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-141	LTR	Unknown
ltr-1_family-142	LTR	Unknown
ltr-1_family-143	LTR	Pao
ltr-1_family-144	LTR	Unknown
ltr-1_family-145	LTR	Gypsy
ltr-1_family-146	LTR	Unknown
ltr-1_family-147	LTR	Unknown
ltr-1_family-148	DNA	Maverick
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Pao
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Pao
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Gypsy
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Pao
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Pao
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Gypsy
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Gypsy
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Pao
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Pao
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Pao
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Gypsy
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Pao
ltr-1_family-64	LTR	Pao
ltr-1_family-65	LTR	Unknown
ltr-1_family-66	LTR	Gypsy
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LTR	Unknown
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Gypsy
ltr-1_family-8	LTR	Pao
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Unknown
