ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Unknown
ltr-1_family-103	LTR	Gypsy
ltr-1_family-104	LTR	Unknown
ltr-1_family-105	LTR	Unknown
ltr-1_family-106	LTR	Unknown
ltr-1_family-107	LTR	Pao
ltr-1_family-108	LTR	Gypsy
ltr-1_family-109	LTR	Pao
ltr-1_family-110	LTR	Unknown
ltr-1_family-12	LTR	Pao
ltr-1_family-111	LTR	Gypsy
ltr-1_family-112	LTR	Unknown
ltr-1_family-113	LTR	Unknown
ltr-1_family-114	LTR	Unknown
ltr-1_family-115	LTR	Unknown
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Unknown
ltr-1_family-119	LTR	Gypsy
ltr-1_family-120	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	LTR	Unknown
ltr-1_family-122	LTR	Unknown
ltr-1_family-123	LTR	Gypsy
ltr-1_family-124	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Gypsy
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Pao
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Pao
ltr-1_family-44	LTR	Unknown
