ID	Order	Superfamily
rnd-1_family-42	RC	Helitron
rnd-1_family-43	RC	Helitron
rnd-1_family-31	Unknown	Unknown
rnd-1_family-24	RC	Helitron
rnd-1_family-13	RC	Helitron
rnd-1_family-47	RC	Helitron
rnd-1_family-9	RC	Helitron
rnd-1_family-50	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-54	RC	Helitron
rnd-1_family-22	Unknown	Unknown
rnd-1_family-61	rRNA	Unknown
rnd-1_family-4	RC	Helitron
rnd-1_family-16	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-20	LINE	RTE-BovB
rnd-1_family-3	RC	Helitron
rnd-1_family-76	RC	Helitron
rnd-1_family-49	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-25	LINE	RTE-BovB
rnd-1_family-7	RC	Helitron
rnd-1_family-17	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-11	RC	Helitron
rnd-1_family-37	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-67	LINE	RTE-BovB
rnd-1_family-51	RC	Helitron
rnd-1_family-1	RC	Helitron
rnd-1_family-48	RC	Helitron
rnd-1_family-30	RC	Helitron
rnd-1_family-41	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-44	RC	Helitron
rnd-1_family-21	LINE	RTE-BovB
rnd-1_family-12	RC	Helitron
rnd-1_family-2	RC	Helitron
rnd-1_family-35	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-68	LINE	L1
rnd-1_family-58	LINE	L1
rnd-1_family-53	RC	Helitron
rnd-1_family-34	Unknown	Unknown
rnd-1_family-27	LINE	RTE-BovB
rnd-1_family-40	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-0	RC	Helitron
rnd-1_family-75	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-14	RC	Helitron
rnd-1_family-60	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-19	RC	Helitron
rnd-1_family-64	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-28	tRNA	Unknown
rnd-1_family-78	LINE	L1
rnd-1_family-79	Unknown	Unknown
rnd-1_family-80	LINE	RTE-BovB
rnd-1_family-81	LTR	Pao
rnd-1_family-82	LTR	Pao
rnd-1_family-83	LTR	Pao
rnd-1_family-84	Unknown	Unknown
rnd-1_family-85	LTR	Pao
rnd-1_family-86	LINE	L1
rnd-1_family-88	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-87	LTR	Pao
rnd-1_family-90	LTR	Pao
rnd-1_family-91	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-93	LINE	RTE
rnd-1_family-94	Unknown	Unknown
rnd-1_family-95	LINE	L1
rnd-1_family-96	LTR	Pao
rnd-1_family-97	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-100	LTR	Pao
rnd-1_family-102	Unknown	Unknown
rnd-1_family-101	LTR	Pao
rnd-1_family-103	Unknown	Unknown
rnd-1_family-104	LTR	Pao
rnd-1_family-105	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-108	LTR	Pao
rnd-1_family-110	Unknown	Unknown
rnd-1_family-109	LTR	Pao
