ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	RC	Helitron
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Pao
ltr-1_family-22	LTR	Unknown
ltr-1_family-4	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-79	Unknown	Unknown
rnd-1_family-65	DNA	TcMar-Tc1
rnd-1_family-116	Unknown	Unknown
rnd-1_family-32	RC	Helitron
rnd-1_family-74	DNA	TcMar-Tc1
rnd-1_family-85	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-24	DNA	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-1	DNA	TcMar-Tc1
rnd-1_family-17	DNA	TcMar-Tc1
rnd-1_family-45	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-11	DNA	TcMar-Tc1
rnd-1_family-0	DNA	TcMar-Tc1
rnd-1_family-107	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-4	DNA	TcMar-Tc1
rnd-1_family-103	Unknown	Unknown
rnd-1_family-6	DNA	TcMar-Tc1
rnd-1_family-27	DNA	TcMar-Tc1
rnd-1_family-47	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-19	DNA	TcMar-Tc1
rnd-1_family-110	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-61	DNA	TcMar-Tc1
rnd-1_family-84	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
