ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Copia
ltr-1_family-17	LTR	Copia
ltr-1_family-18	LTR	Pao
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	DNA	PiggyBac
ltr-1_family-3	LTR	Gypsy
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Copia
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Pao
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Gypsy
ltr-1_family-10	LTR	Copia
rnd-1_family-262	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-180	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-159	DNA	hAT-Tip100
rnd-1_family-108	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-215	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-255	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-263	Unknown	Unknown
rnd-1_family-208	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-264	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-193	DNA	MULE-MuDR
rnd-1_family-95	Unknown	Unknown
rnd-1_family-169	DNA	Ginger-2
rnd-1_family-149	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-78	DNA	hAT-Charlie
rnd-1_family-203	DNA	Ginger-2
rnd-1_family-89	Unknown	Unknown
rnd-1_family-246	DNA	hAT-Tip100
rnd-1_family-147	Unknown	Unknown
rnd-1_family-231	Unknown	Unknown
rnd-1_family-232	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-257	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-163	DNA	MULE-MuDR
rnd-1_family-65	DNA	MULE-MuDR
rnd-1_family-166	Unknown	Unknown
rnd-1_family-46	LTR	Gypsy
rnd-1_family-151	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-222	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-223	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-260	DNA	hAT-Tip100
rnd-1_family-124	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-217	Unknown	Unknown
rnd-1_family-251	Unknown	Unknown
rnd-1_family-267	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-224	Unknown	Unknown
rnd-1_family-184	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-248	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-202	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-178	DNA	PiggyBac
rnd-1_family-138	DNA	PiggyBac
