ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Pao
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Pao
ltr-1_family-35	tRNA	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Pao
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Gypsy
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Pao
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	DNA	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Pao
ltr-1_family-56	LINE	CR1-Zenon
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-572	Unknown	Unknown
rnd-1_family-474	Unknown	Unknown
rnd-1_family-333	LINE	RTE-RTE
rnd-1_family-518	LINE	CR1
rnd-1_family-400	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-334	Unknown	Unknown
rnd-1_family-414	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-464	Unknown	Unknown
rnd-1_family-427	Unknown	Unknown
rnd-1_family-581	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-364	Unknown	Unknown
rnd-1_family-266	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-287	Unknown	Unknown
rnd-1_family-391	Unknown	Unknown
rnd-1_family-387	Unknown	Unknown
rnd-1_family-234	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-280	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-360	Unknown	Unknown
rnd-1_family-467	Unknown	Unknown
rnd-1_family-248	Unknown	Unknown
rnd-1_family-388	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-282	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-524	Unknown	Unknown
rnd-1_family-582	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-555	LTR	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-335	Unknown	Unknown
rnd-1_family-253	Unknown	Unknown
rnd-1_family-431	Unknown	Unknown
rnd-1_family-456	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-192	LINE	RTE-RTE
rnd-1_family-223	LINE	CR1
rnd-1_family-72	Unknown	Unknown
rnd-1_family-322	Unknown	Unknown
rnd-1_family-309	RC	Helitron
rnd-1_family-583	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-319	Unknown	Unknown
rnd-1_family-353	Unknown	Unknown
rnd-1_family-340	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-417	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-263	Unknown	Unknown
rnd-1_family-438	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-549	Unknown	Unknown
rnd-1_family-475	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-291	Unknown	Unknown
rnd-1_family-336	DNA	TcMar-Mariner
rnd-1_family-556	Unknown	Unknown
rnd-1_family-259	Unknown	Unknown
rnd-1_family-262	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-511	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-256	Unknown	Unknown
rnd-1_family-488	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-352	Unknown	Unknown
rnd-1_family-221	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-245	Unknown	Unknown
rnd-1_family-272	Unknown	Unknown
rnd-1_family-342	Unknown	Unknown
