ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Pao
ltr-1_family-28	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Copia
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-62	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
