ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Gypsy
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Pao
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Pao
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Pao
ltr-1_family-35	LTR	Pao
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Pao
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Gypsy
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Gypsy
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-92	LINE	RTE-RTE
rnd-1_family-79	LINE	RTE-RTE
rnd-1_family-95	LINE	RTE-RTE
rnd-1_family-3	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-42	LINE	RTE-BovB
rnd-1_family-97	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-102	DNA	TcMar-Mariner
rnd-1_family-45	LINE	RTE
rnd-1_family-71	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-53	DNA	TcMar-Tc1
rnd-1_family-69	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-18	LINE	RTE-RTE
rnd-1_family-74	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-91	LINE	RTE-RTE
rnd-1_family-83	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
