ID	Order	Superfamily
rnd-1_family-22	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-89	snRNA	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-96	DNA	TcMar-Tc1
rnd-1_family-82	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-9	Satellite	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-76	DNA	TcMar-Tc1
rnd-1_family-58	Unknown	Unknown
rnd-1_family-39	Satellite	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-7	Satellite	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
