ID	Order	Superfamily
rnd-1_family-3	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	LTR	Pao
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	LTR	Pao
rnd-1_family-39	Unknown	Unknown
rnd-2_family-61	Unknown	Unknown
rnd-3_family-40	Unknown	Unknown
rnd-3_family-173	Simple_repeat	Unknown
rnd-4_family-268	Simple_repeat	Unknown
rnd-4_family-22	LTR	Pao
rnd-4_family-46	Unknown	Unknown
rnd-4_family-719	Unknown	Unknown
rnd-4_family-447	Unknown	Unknown
rnd-4_family-355	LTR	Pao
rnd-4_family-59	Unknown	Unknown
rnd-4_family-834	Unknown	Unknown
rnd-4_family-310	Unknown	Unknown
rnd-4_family-357	Unknown	Unknown
rnd-4_family-453	Simple_repeat	Unknown
rnd-4_family-227	Unknown	Unknown
rnd-4_family-152	Unknown	Unknown
rnd-5_family-44	LTR	Pao
rnd-5_family-147	Unknown	Unknown
rnd-5_family-46	rRNA	Unknown
rnd-5_family-383	Unknown	Unknown
rnd-5_family-64	LTR	Pao
rnd-5_family-290	Unknown	Unknown
rnd-5_family-187	Unknown	Unknown
rnd-5_family-1978	Unknown	Unknown
rnd-5_family-599	LINE	RTE-BovB
rnd-5_family-594	Unknown	Unknown
rnd-5_family-267	Unknown	Unknown
