ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Pao
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Pao
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Pao
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Pao
ltr-1_family-32	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Pao
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Pao
ltr-1_family-10	LTR	Unknown
rnd-1_family-75	DNA	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-4	DNA	MULE-MuDR
rnd-1_family-127	Unknown	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-93	LINE	R2
rnd-1_family-108	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-21	DNA	hAT-Charlie
rnd-1_family-7	Unknown	Unknown
