ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Pao
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	DNA	hAT-Ac
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	DNA	hAT-Ac
ltr-1_family-26	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-64	DNA	MULE-MuDR
rnd-1_family-76	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-9	RC	Helitron
rnd-1_family-22	RC	Helitron
rnd-1_family-74	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-28	DNA	TcMar-Tc2
rnd-1_family-80	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-50	Satellite	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-84	LTR	Gypsy
rnd-1_family-83	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-44	SINE	tRNA-RTE
rnd-1_family-1	DNA	TcMar-Tc1
rnd-1_family-94	LTR	Gypsy
rnd-1_family-67	SINE	tRNA-RTE
rnd-1_family-81	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-40	RC	Helitron
rnd-1_family-78	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-5	DNA	TcMar-Tc1
rnd-1_family-11	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-7	DNA	TcMar-Tc1
rnd-1_family-45	Unknown	Unknown
rnd-1_family-63	DNA	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-4	DNA	TcMar-Tc1
rnd-1_family-90	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-6	DNA	TcMar-Tc1
rnd-1_family-21	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-92	LINE	RTE-RTE
rnd-1_family-77	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-58	SINE	tRNA-RTE
rnd-1_family-43	DNA	hAT-Ac
rnd-1_family-30	Unknown	Unknown
rnd-1_family-60	RC	Helitron
rnd-1_family-2	DNA	TcMar-Tc1
rnd-1_family-72	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-0	DNA	TcMar-Tc1
rnd-1_family-39	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-3	DNA	TcMar-Tc1
rnd-1_family-61	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-96	SINE	tRNA-RTE
rnd-1_family-26	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-53	RC	Helitron
rnd-1_family-69	RC	Helitron
rnd-1_family-99	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-56	Simple_repeat	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-103	LTR	Gypsy
rnd-1_family-104	DNA	TcMar-Tc1
rnd-1_family-105	Unknown	Unknown
rnd-1_family-107	LINE	RTE-RTE
rnd-1_family-106	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-111	DNA	TcMar-Tc1
rnd-1_family-113	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
