ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Pao
ltr-1_family-22	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	DNA	Maverick
rnd-1_family-123	LTR	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-542	Unknown	Unknown
rnd-1_family-589	Unknown	Unknown
rnd-1_family-410	Unknown	Unknown
rnd-1_family-420	LINE	CR1
rnd-1_family-81	Unknown	Unknown
rnd-1_family-449	Unknown	Unknown
rnd-1_family-526	Unknown	Unknown
rnd-1_family-497	Unknown	Unknown
rnd-1_family-536	Unknown	Unknown
rnd-1_family-388	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-516	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-315	Unknown	Unknown
rnd-1_family-336	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-403	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-563	Unknown	Unknown
rnd-1_family-279	Simple_repeat	Unknown
rnd-1_family-282	DNA	TcMar-Tc1
rnd-1_family-366	Unknown	Unknown
rnd-1_family-513	LINE	RTE-RTE
rnd-1_family-407	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-495	LINE	CR1
rnd-1_family-462	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-539	Simple_repeat	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-176	DNA	TcMar-Tc1
