ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Pao
ltr-1_family-103	LTR	Pao
ltr-1_family-104	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LINE	Penelope
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Pao
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Gypsy
ltr-1_family-42	LTR	Gypsy
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LINE	RTE-BovB
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	DNA	Merlin
ltr-1_family-57	DNA	MULE-MuDR
ltr-1_family-58	LTR	Pao
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Gypsy
ltr-1_family-63	LTR	Gypsy
ltr-1_family-64	LTR	Unknown
ltr-1_family-65	LTR	Gypsy
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LTR	Gypsy
ltr-1_family-69	LTR	Gypsy
ltr-1_family-70	LTR	Gypsy
ltr-1_family-8	LTR	Gypsy
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Unknown
ltr-1_family-73	LTR	Gypsy
ltr-1_family-74	LTR	Gypsy
ltr-1_family-75	LTR	Pao
ltr-1_family-76	LTR	Unknown
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	LTR	Unknown
ltr-1_family-79	LTR	Gypsy
ltr-1_family-80	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LTR	Unknown
ltr-1_family-82	LTR	Unknown
ltr-1_family-83	LTR	Unknown
ltr-1_family-84	LTR	Gypsy
ltr-1_family-85	LTR	Unknown
ltr-1_family-86	LTR	Gypsy
ltr-1_family-87	LTR	Gypsy
ltr-1_family-88	LTR	Unknown
ltr-1_family-89	LTR	Unknown
ltr-1_family-90	LTR	Gypsy
ltr-1_family-10	LTR	Gypsy
ltr-1_family-91	LTR	Unknown
ltr-1_family-92	LTR	Unknown
ltr-1_family-93	LTR	Gypsy
ltr-1_family-94	LTR	Gypsy
ltr-1_family-95	LTR	Gypsy
ltr-1_family-96	LTR	Gypsy
ltr-1_family-97	LTR	Unknown
ltr-1_family-98	LTR	Gypsy
ltr-1_family-99	LTR	Unknown
ltr-1_family-100	LTR	Gypsy
rnd-1_family-386	LINE	RTE-BovB
rnd-1_family-164	Unknown	Unknown
rnd-1_family-315	Unknown	Unknown
rnd-1_family-187	LINE	RTE-BovB
rnd-1_family-321	DNA	Merlin
rnd-1_family-111	Unknown	Unknown
rnd-1_family-325	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-249	Unknown	Unknown
rnd-1_family-185	LINE	RTE-BovB
rnd-1_family-283	LINE	RTE-BovB
rnd-1_family-309	Unknown	Unknown
rnd-1_family-276	LINE	RTE-BovB
rnd-1_family-377	Unknown	Unknown
rnd-1_family-226	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-370	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-322	LINE	Penelope
rnd-1_family-245	Unknown	Unknown
rnd-1_family-166	Unknown	Unknown
rnd-1_family-212	LINE	RTE-BovB
rnd-1_family-289	Unknown	Unknown
rnd-1_family-292	LINE	RTE-BovB
rnd-1_family-453	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-199	Unknown	Unknown
rnd-1_family-338	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-344	Unknown	Unknown
rnd-1_family-445	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-430	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-69	LINE	RTE-BovB
rnd-1_family-41	LINE	RTE-BovB
rnd-1_family-390	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-405	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-362	Unknown	Unknown
