ID	Order	Superfamily
rnd-1_family-186	Unknown	Unknown
rnd-1_family-275	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-292	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-322	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-162	Simple_repeat	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-358	Unknown	Unknown
rnd-1_family-261	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-326	Unknown	Unknown
rnd-1_family-344	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-211	Unknown	Unknown
rnd-1_family-332	Unknown	Unknown
rnd-1_family-200	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-305	Simple_repeat	Unknown
rnd-1_family-377	LINE	RTE-RTE
rnd-1_family-4	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-266	Unknown	Unknown
rnd-1_family-235	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-166	Unknown	Unknown
rnd-1_family-187	Simple_repeat	Unknown
rnd-1_family-313	LINE	RTE-RTE
rnd-1_family-311	Unknown	Unknown
rnd-1_family-325	Unknown	Unknown
rnd-1_family-207	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-260	Unknown	Unknown
rnd-1_family-365	Unknown	Unknown
rnd-1_family-318	Unknown	Unknown
rnd-1_family-350	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
rnd-1_family-283	Unknown	Unknown
rnd-1_family-380	LINE	RTE-RTE
rnd-1_family-75	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-371	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-293	LINE	RTE-RTE
rnd-1_family-105	Unknown	Unknown
rnd-1_family-331	LINE	RTE-RTE
rnd-1_family-47	Unknown	Unknown
rnd-1_family-324	LINE	RTE-RTE
rnd-1_family-264	Unknown	Unknown
rnd-1_family-306	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-265	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-202	Unknown	Unknown
rnd-1_family-316	LINE	RTE-RTE
rnd-1_family-163	Simple_repeat	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-158	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-258	Unknown	Unknown
