ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	RC	Helitron
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Gypsy
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Pao
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-56	Unknown	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-249	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-209	Unknown	Unknown
rnd-1_family-217	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-124	DNA	MULE-MuDR
rnd-1_family-99	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-261	DNA	Merlin
rnd-1_family-18	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-210	Simple_repeat	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-206	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-207	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-197	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-205	Unknown	Unknown
rnd-1_family-251	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-235	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-264	Unknown	Unknown
rnd-1_family-229	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-176	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-48	DNA	Merlin
rnd-1_family-219	Unknown	Unknown
rnd-1_family-221	tRNA	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-273	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-247	Unknown	Unknown
rnd-1_family-127	DNA	PiggyBac
rnd-1_family-192	Unknown	Unknown
rnd-1_family-193	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-109	Simple_repeat	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-199	Unknown	Unknown
rnd-1_family-258	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-184	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
