ID	Order	Superfamily
rnd-1_family-0	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	LTR	Pao
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-2_family-24	Simple_repeat	Unknown
rnd-2_family-16	Unknown	Unknown
rnd-3_family-125	Unknown	Unknown
rnd-3_family-156	Unknown	Unknown
rnd-3_family-18	Unknown	Unknown
rnd-3_family-6	LTR	Pao
rnd-4_family-144	Unknown	Unknown
rnd-4_family-24	Unknown	Unknown
rnd-4_family-33	Unknown	Unknown
rnd-4_family-65	Unknown	Unknown
rnd-4_family-64	Unknown	Unknown
rnd-4_family-734	LINE	RTE-BovB
rnd-4_family-49	LTR	Pao
rnd-4_family-535	Simple_repeat	Unknown
rnd-4_family-35	Unknown	Unknown
rnd-4_family-184	LTR	Pao
rnd-4_family-85	Unknown	Unknown
rnd-4_family-210	Unknown	Unknown
rnd-4_family-513	LTR	Pao
rnd-4_family-122	LTR	Pao
rnd-4_family-1996	Unknown	Unknown
rnd-4_family-172	Unknown	Unknown
rnd-5_family-66	Unknown	Unknown
rnd-5_family-195	LTR	Pao
rnd-5_family-192	Unknown	Unknown
rnd-5_family-787	Unknown	Unknown
rnd-5_family-133	Unknown	Unknown
