ID	Order	Superfamily
rnd-1_family-103	Unknown	Unknown
rnd-1_family-1	LINE	RTE-RTE
rnd-1_family-123	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-54	LINE	RTE-BovB
rnd-1_family-95	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-35	LINE	RTE-BovB
rnd-1_family-47	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-106	DNA	TcMar-Tc4
rnd-1_family-84	LINE	RTE-BovB
rnd-1_family-46	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-23	LINE	RTE-RTE
rnd-1_family-11	Unknown	Unknown
rnd-1_family-43	LINE	RTE-BovB
rnd-1_family-91	LINE	RTE-BovB
rnd-1_family-107	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-48	DNA	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-7	LINE	RTE-RTE
rnd-1_family-118	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-112	DNA	TcMar-Mariner
rnd-1_family-98	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-8	LINE	RTE-RTE
rnd-1_family-88	Unknown	Unknown
rnd-1_family-51	LINE	RTE-BovB
rnd-1_family-66	LINE	RTE
rnd-1_family-26	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-29	DNA	TcMar-Tc4
rnd-1_family-73	LINE	Penelope
rnd-1_family-113	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-70	LINE	Penelope
rnd-1_family-53	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-2	LINE	RTE-RTE
