ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Pao
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Pao
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Pao
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Pao
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Gypsy
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	DNA	MULE-MuDR
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-51	Unknown	Unknown
rnd-1_family-339	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-192	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-282	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-60	Simple_repeat	Unknown
rnd-1_family-218	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-244	Unknown	Unknown
rnd-1_family-268	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-230	DNA	TcMar-Tc1
rnd-1_family-80	LINE	CR1
rnd-1_family-264	Unknown	Unknown
rnd-1_family-209	LINE	Penelope
rnd-1_family-349	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-181	DNA	TcMar-Tc1
rnd-1_family-18	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-317	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-266	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-257	Unknown	Unknown
rnd-1_family-262	Unknown	Unknown
rnd-1_family-318	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-252	Unknown	Unknown
rnd-1_family-308	Unknown	Unknown
rnd-1_family-196	DNA	TcMar-Tc1
rnd-1_family-303	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-161	RC	Helitron
rnd-1_family-70	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-261	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-274	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-212	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-325	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-355	Unknown	Unknown
rnd-1_family-205	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-194	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-224	DNA	TcMar-Tc1
rnd-1_family-275	Unknown	Unknown
rnd-1_family-249	Unknown	Unknown
rnd-1_family-241	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-228	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-235	Unknown	Unknown
rnd-1_family-229	DNA	TcMar-Tc1
rnd-1_family-176	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-233	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-199	Unknown	Unknown
