ID	Order	Superfamily
rnd-1_family-22	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-74	RC	Helitron
rnd-1_family-43	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-56	RC	Helitron
rnd-1_family-37	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-41	tRNA	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-73	tRNA	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-81	tRNA	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
