ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Pao
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Pao
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Pao
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Pao
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Pao
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Pao
ltr-1_family-10	LTR	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-56	DNA	hAT-Ac
rnd-1_family-122	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-32	DNA	hAT-Ac
rnd-1_family-17	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-31	DNA	hAT-Ac
rnd-1_family-143	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-155	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
