ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Pao
ltr-1_family-102	LTR	Unknown
ltr-1_family-103	LTR	Gypsy
ltr-1_family-104	LTR	Gypsy
ltr-1_family-105	LTR	Unknown
ltr-1_family-106	LTR	Gypsy
ltr-1_family-107	LTR	Gypsy
ltr-1_family-108	LTR	Gypsy
ltr-1_family-109	LTR	Unknown
ltr-1_family-110	LTR	Pao
ltr-1_family-12	LTR	Gypsy
ltr-1_family-111	LTR	Unknown
ltr-1_family-112	LTR	Gypsy
ltr-1_family-113	LTR	Pao
ltr-1_family-114	LINE	RTE-RTE
ltr-1_family-115	LTR	Gypsy
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Gypsy
ltr-1_family-119	LTR	Unknown
ltr-1_family-120	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	LTR	Unknown
ltr-1_family-122	LTR	Pao
ltr-1_family-123	LTR	Unknown
ltr-1_family-124	LTR	Unknown
ltr-1_family-125	LTR	Unknown
ltr-1_family-126	LTR	Gypsy
ltr-1_family-127	LTR	Unknown
ltr-1_family-128	LTR	Pao
ltr-1_family-129	LTR	Gypsy
ltr-1_family-130	LTR	Gypsy
ltr-1_family-14	LTR	Gypsy
ltr-1_family-131	LTR	Gypsy
ltr-1_family-132	LTR	Gypsy
ltr-1_family-133	LTR	Pao
ltr-1_family-134	LTR	Unknown
ltr-1_family-135	LTR	Unknown
ltr-1_family-136	LTR	Gypsy
ltr-1_family-137	LTR	Gypsy
ltr-1_family-138	LTR	Unknown
ltr-1_family-139	LTR	Gypsy
ltr-1_family-140	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-141	LTR	Unknown
ltr-1_family-142	LTR	Gypsy
ltr-1_family-143	LTR	Gypsy
ltr-1_family-144	LTR	Unknown
ltr-1_family-145	LTR	Unknown
ltr-1_family-146	LTR	Unknown
ltr-1_family-147	LTR	Unknown
ltr-1_family-148	LTR	Gypsy
ltr-1_family-149	LTR	Unknown
ltr-1_family-150	LTR	Gypsy
ltr-1_family-16	LTR	Unknown
ltr-1_family-151	LTR	Unknown
ltr-1_family-152	LTR	Unknown
ltr-1_family-153	LTR	Gypsy
ltr-1_family-154	LTR	Gypsy
