ID	Order	Superfamily
rnd-1_family-1	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-2	LTR	Pao
rnd-1_family-3	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-13	LTR	Ngaro
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	LTR	Pao
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	LTR	Ngaro
rnd-1_family-29	LTR	Pao
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	LTR	Pao
rnd-1_family-26	LTR	Pao
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-37	LTR	Ngaro
rnd-1_family-38	Unknown	Unknown
rnd-1_family-39	LTR	Pao
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	LTR	Pao
rnd-1_family-42	LTR	Pao
rnd-1_family-43	LTR	Pao
rnd-1_family-44	LTR	Ngaro
rnd-1_family-45	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-47	LTR	Pao
rnd-1_family-48	Unknown	Unknown
rnd-1_family-49	LTR	Ngaro
rnd-1_family-51	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-57	LTR	Pao
rnd-1_family-58	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-61	LTR	Pao
rnd-1_family-62	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-68	LTR	Pao
rnd-1_family-69	LTR	Pao
rnd-1_family-70	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-72	LINE	RTE-BovB
rnd-1_family-73	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-78	LTR	Pao
rnd-1_family-79	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-84	LTR	Pao
rnd-1_family-85	Unknown	Unknown
rnd-1_family-86	LTR	Pao
rnd-1_family-87	Unknown	Unknown
rnd-1_family-88	LTR	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-4_family-17	Unknown	Unknown
rnd-4_family-102	Unknown	Unknown
rnd-4_family-421	Unknown	Unknown
rnd-4_family-1949	Unknown	Unknown
rnd-4_family-1015	Unknown	Unknown
rnd-4_family-355	Unknown	Unknown
rnd-4_family-580	Unknown	Unknown
rnd-4_family-399	LTR	Pao
rnd-4_family-1863	Unknown	Unknown
rnd-4_family-658	Unknown	Unknown
rnd-4_family-840	Unknown	Unknown
rnd-5_family-621	LINE	RTE-BovB
rnd-5_family-615	LTR	Pao
rnd-5_family-687	Unknown	Unknown
rnd-5_family-104	Unknown	Unknown
rnd-5_family-6575	Unknown	Unknown
rnd-5_family-616	LTR	Pao
rnd-5_family-2707	Unknown	Unknown
rnd-5_family-2533	Unknown	Unknown
rnd-5_family-292	Unknown	Unknown
rnd-5_family-1209	rRNA	Unknown
rnd-5_family-794	DNA	Unknown
rnd-5_family-888	Unknown	Unknown
rnd-5_family-801	Unknown	Unknown
rnd-5_family-618	LTR	Pao
rnd-5_family-2880	Unknown	Unknown
rnd-5_family-2944	Unknown	Unknown
rnd-5_family-2775	Unknown	Unknown
rnd-5_family-230	Unknown	Unknown
rnd-5_family-624	rRNA	Unknown
rnd-5_family-5	Unknown	Unknown
