ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Pao
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LINE	Penelope
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Pao
ltr-1_family-10	LTR	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-141	DNA	TcMar-Mariner
rnd-1_family-147	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-30	LINE	Penelope
rnd-1_family-170	LINE	RTE-RTE
rnd-1_family-38	LINE	Penelope
rnd-1_family-87	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-44	LINE	Penelope
rnd-1_family-55	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-192	Unknown	Unknown
rnd-1_family-149	DNA	TcMar-Mariner
rnd-1_family-129	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-176	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-127	LINE	RTE-RTE
rnd-1_family-75	LINE	Penelope
rnd-1_family-169	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-65	LINE	RTE-RTE
rnd-1_family-134	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-50	LINE	RTE-RTE
rnd-1_family-94	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-131	LINE	RTE-RTE
rnd-1_family-41	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-115	LINE	Penelope
rnd-1_family-45	LINE	Penelope
rnd-1_family-156	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-59	LINE	RTE-RTE
rnd-1_family-157	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-166	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-84	LINE	RTE-RTE
rnd-1_family-119	LINE	RTE-RTE
rnd-1_family-29	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-32	LINE	Penelope
rnd-1_family-76	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-165	DNA	TcMar-Mariner
rnd-1_family-133	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
