ID	Order	Superfamily
rnd-1_family-45	Unknown	Unknown
rnd-1_family-20	LINE	RTE-BovB
rnd-1_family-1	LINE	RTE-BovB
rnd-1_family-35	Unknown	Unknown
rnd-1_family-26	LINE	RTE-BovB
rnd-1_family-31	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-59	LINE	CR1
rnd-1_family-27	LINE	RTE-BovB
rnd-1_family-23	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-8	LINE	RTE-BovB
rnd-1_family-19	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-47	LINE	RTE-X
rnd-1_family-83	LINE	Dong-R4
rnd-1_family-58	Unknown	Unknown
rnd-1_family-36	LINE	CR1
rnd-1_family-15	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-62	LINE	RTE-BovB
rnd-1_family-55	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-80	LINE	Dong-R4
rnd-1_family-18	Unknown	Unknown
rnd-1_family-48	LINE	CR1
rnd-1_family-70	LINE	CR1
rnd-1_family-65	LINE	Dong-R4
rnd-1_family-6	LINE	RTE-BovB
rnd-1_family-79	LINE	Dong-R4
rnd-1_family-53	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-63	LINE	CR1
rnd-1_family-69	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-68	LINE	Dong-R4
rnd-1_family-57	LINE	Dong-R4
rnd-1_family-61	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-38	LINE	Dong-R4
rnd-1_family-34	Unknown	Unknown
rnd-1_family-81	LINE	Dong-R4
rnd-1_family-30	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-73	LINE	Dong-R4
rnd-1_family-78	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-40	LINE	RTE-BovB
rnd-1_family-12	Unknown	Unknown
rnd-1_family-66	LINE	Dong-R4
rnd-1_family-22	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-37	LINE	RTE-BovB
rnd-1_family-39	LINE	Dong-R4
rnd-1_family-43	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-60	LINE	CR1
rnd-1_family-85	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-86	LINE	CR1
rnd-1_family-50	LINE	RTE-BovB
rnd-1_family-87	LINE	Dong-R4
rnd-1_family-33	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
