ID	Order	Superfamily
rnd-1_family-30	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-117	LINE	RTE-RTE
rnd-1_family-125	LINE	RTE-BovB
rnd-1_family-7	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-0	LINE	RTE-BovB
rnd-1_family-124	LINE	RTE-BovB
rnd-1_family-59	LINE	RTE-RTE
rnd-1_family-35	Unknown	Unknown
rnd-1_family-75	LINE	RTE
rnd-1_family-39	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-136	LINE	RTE-BovB
rnd-1_family-50	LINE	RTE-BovB
rnd-1_family-106	Unknown	Unknown
rnd-1_family-165	LINE	RTE-RTE
rnd-1_family-60	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-19	LINE	RTE-BovB
rnd-1_family-121	Unknown	Unknown
rnd-1_family-18	SINE	tRNA-Deu
rnd-1_family-107	Unknown	Unknown
rnd-1_family-151	LINE	Penelope
rnd-1_family-144	LINE	RTE-RTE
rnd-1_family-89	LINE	Penelope
rnd-1_family-23	Unknown	Unknown
rnd-1_family-47	LINE	RTE-BovB
rnd-1_family-65	LINE	RTE-BovB
rnd-1_family-82	Unknown	Unknown
rnd-1_family-127	LINE	RTE
rnd-1_family-63	Unknown	Unknown
rnd-1_family-152	LINE	RTE-BovB
rnd-1_family-114	LINE	RTE-RTE
rnd-1_family-33	LINE	RTE-BovB
rnd-1_family-113	LINE	Penelope
rnd-1_family-154	LINE	RTE-RTE
rnd-1_family-101	LINE	RTE-BovB
rnd-1_family-135	LINE	RTE-BovB
rnd-1_family-139	Unknown	Unknown
rnd-1_family-111	LINE	RTE
rnd-1_family-77	LINE	RTE-BovB
rnd-1_family-70	Unknown	Unknown
rnd-1_family-155	LINE	RTE-RTE
rnd-1_family-54	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-36	LINE	RTE-BovB
rnd-1_family-20	Unknown	Unknown
rnd-1_family-51	LINE	RTE
rnd-1_family-73	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-2	LINE	RTE-BovB
rnd-1_family-15	Unknown	Unknown
rnd-1_family-17	LINE	RTE-BovB
rnd-1_family-28	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-163	LINE	RTE-RTE
rnd-1_family-98	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-96	LINE	RTE-BovB
rnd-1_family-122	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-130	LINE	RTE-RTE
rnd-1_family-16	Unknown	Unknown
rnd-1_family-6	LINE	RTE-BovB
rnd-1_family-3	SINE	tRNA-Deu
rnd-1_family-132	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-164	LINE	RTE-RTE
rnd-1_family-85	LINE	RTE-RTE
rnd-1_family-83	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-27	LINE	RTE-BovB
rnd-1_family-24	LINE	RTE-BovB
rnd-1_family-137	Unknown	Unknown
rnd-1_family-49	LINE	RTE-BovB
rnd-1_family-102	LINE	RTE-RTE
rnd-1_family-150	LINE	I-Jockey
rnd-1_family-42	LINE	RTE-BovB
rnd-1_family-103	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-159	LINE	RTE-RTE
rnd-1_family-67	LINE	RTE-BovB
rnd-1_family-21	Unknown	Unknown
rnd-1_family-123	LINE	RTE-BovB
rnd-1_family-41	LINE	RTE-BovB
rnd-1_family-91	LINE	RTE-RTE
rnd-1_family-11	LINE	RTE-BovB
rnd-1_family-32	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-105	LINE	RTE-BovB
rnd-1_family-10	LINE	RTE-BovB
rnd-1_family-22	Unknown	Unknown
rnd-1_family-100	LINE	RTE-RTE
rnd-1_family-38	LINE	RTE-BovB
rnd-1_family-118	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-34	LINE	RTE-BovB
rnd-1_family-13	Unknown	Unknown
rnd-1_family-25	LINE	RTE-BovB
rnd-1_family-134	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-68	LINE	Penelope
rnd-1_family-56	Unknown	Unknown
rnd-1_family-94	LINE	RTE-RTE
rnd-1_family-108	Unknown	Unknown
rnd-1_family-128	LINE	RTE-RTE
rnd-1_family-12	Unknown	Unknown
rnd-1_family-43	LINE	RTE-BovB
rnd-1_family-48	LINE	RTE-BovB
rnd-1_family-126	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-110	LINE	RTE-RTE
rnd-1_family-29	LINE	RTE-BovB
rnd-1_family-148	LINE	RTE-RTE
rnd-1_family-160	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-58	LINE	RTE
rnd-1_family-62	tRNA	Unknown
rnd-1_family-142	LINE	RTE-BovB
rnd-1_family-53	Unknown	Unknown
rnd-1_family-71	LINE	RTE-BovB
rnd-1_family-131	LINE	RTE
rnd-1_family-40	LINE	RTE-BovB
rnd-1_family-115	Unknown	Unknown
rnd-1_family-46	LINE	RTE-BovB
rnd-1_family-26	Unknown	Unknown
rnd-1_family-157	LINE	RTE-RTE
rnd-1_family-14	Unknown	Unknown
rnd-1_family-95	LINE	RTE-RTE
rnd-1_family-112	LINE	RTE-BovB
rnd-1_family-64	Unknown	Unknown
rnd-1_family-5	LINE	RTE-BovB
rnd-1_family-86	Unknown	Unknown
rnd-1_family-45	LINE	Unknown
rnd-1_family-78	LINE	RTE-RTE
rnd-1_family-145	LINE	Penelope
rnd-1_family-153	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-162	LINE	RTE-RTE
rnd-1_family-90	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
