ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Copia
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	DNA	TcMar-Tc2
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Gypsy
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Gypsy
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Gypsy
ltr-1_family-43	LTR	Gypsy
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Pao
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	DNA	PIF-Harbinger
rnd-1_family-415	Unknown	Unknown
rnd-1_family-920	Unknown	Unknown
rnd-1_family-776	Unknown	Unknown
rnd-1_family-422	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-601	Unknown	Unknown
rnd-1_family-406	Unknown	Unknown
rnd-1_family-898	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-432	Unknown	Unknown
rnd-1_family-445	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-906	Unknown	Unknown
rnd-1_family-608	Unknown	Unknown
rnd-1_family-1005	Unknown	Unknown
rnd-1_family-651	Unknown	Unknown
rnd-1_family-564	Unknown	Unknown
rnd-1_family-795	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-341	Unknown	Unknown
rnd-1_family-626	tRNA	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-451	Unknown	Unknown
rnd-1_family-821	Simple_repeat	Unknown
rnd-1_family-155	Unknown	Unknown
rnd-1_family-698	DNA	Unknown
rnd-1_family-642	Unknown	Unknown
rnd-1_family-648	Unknown	Unknown
rnd-1_family-717	Unknown	Unknown
rnd-1_family-280	Unknown	Unknown
rnd-1_family-356	DNA	MULE-MuDR
rnd-1_family-1024	Unknown	Unknown
rnd-1_family-623	Unknown	Unknown
rnd-1_family-749	DNA	TcMar-Tc1
rnd-1_family-848	Unknown	Unknown
rnd-1_family-313	DNA	MULE-MuDR
rnd-1_family-750	Unknown	Unknown
rnd-1_family-389	Unknown	Unknown
rnd-1_family-628	Unknown	Unknown
rnd-1_family-291	Unknown	Unknown
rnd-1_family-936	Unknown	Unknown
rnd-1_family-441	Unknown	Unknown
rnd-1_family-854	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-721	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-917	Unknown	Unknown
rnd-1_family-676	DNA	TcMar-Tc1
rnd-1_family-126	Unknown	Unknown
rnd-1_family-1017	Unknown	Unknown
rnd-1_family-1042	Unknown	Unknown
rnd-1_family-455	Unknown	Unknown
rnd-1_family-962	Unknown	Unknown
rnd-1_family-176	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-577	Unknown	Unknown
rnd-1_family-1026	Unknown	Unknown
rnd-1_family-644	Unknown	Unknown
rnd-1_family-468	Unknown	Unknown
rnd-1_family-299	Unknown	Unknown
rnd-1_family-481	Unknown	Unknown
rnd-1_family-640	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-256	Unknown	Unknown
rnd-1_family-292	Unknown	Unknown
rnd-1_family-388	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-757	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-397	Unknown	Unknown
rnd-1_family-532	Unknown	Unknown
rnd-1_family-997	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-1020	Unknown	Unknown
rnd-1_family-360	Unknown	Unknown
rnd-1_family-327	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-285	Unknown	Unknown
rnd-1_family-484	Unknown	Unknown
rnd-1_family-807	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-963	Unknown	Unknown
rnd-1_family-551	Unknown	Unknown
rnd-1_family-408	Unknown	Unknown
rnd-1_family-843	Unknown	Unknown
rnd-1_family-891	Unknown	Unknown
rnd-1_family-386	Unknown	Unknown
